,COL,PHI,LA,SF,DET,CHC,SD,NYM,CLE,ANA,ATL,TB,MON,OAK,STL,BAL,TEX,HOU,MIL,MIN,ARI,BOS,PIT,CIN,SEA,TOR,FLA,NYY,CWS,KC
WHIP,1.5618181818181818,1.35,1.3657894736842102,1.2558823529411764,1.8390000000000002,1.6486363636363635,1.8318918918918918,1.3636000000000001,1.5536666666666668,1.242222222222222,2.0052631578947366,1.7766666666666668,1.481,1.424375,1.5520000000000003,1.517894736842105,1.7362962962962964,2.1085714285714285,1.6831999999999996,1.6542105263157894,1.509,1.321764705882353,1.4826315789473685,1.4347619047619051,1.5394736842105263,1.8234782608695652,1.528095238095238,1.4394117647058824,1.333529411764706,1.6919230769230773
ERA,5.317727272727273,4.1085,4.406842105263158,3.46,6.712,5.990454545454546,5.746216216216217,4.1912,5.478666666666666,3.425555555555556,4.90421052631579,6.383809523809522,4.633,4.13125,4.7656,5.065789473684211,6.457407407407407,8.085238095238097,5.679600000000001,5.806842105263158,5.5905,4.2288235294117635,4.471578947368421,4.343809523809524,6.007368421052632,6.328695652173913,5.168095238095237,5.034705882352942,4.7452941176470596,6.443076923076925
pWAR,0.04545454545454544,0.22999999999999998,0.6421052631578947,0.7941176470588236,0.12999999999999995,0.5772727272727274,0.14594594594594587,0.584,0.14333333333333337,0.9277777777777779,1.1473684210526318,-0.06666666666666667,0.73,1.3750000000000002,0.3640000000000001,0.47894736842105273,0.3259259259259259,1.0619047619047617,0.08000000000000007,0.8789473684210528,1.4000000000000001,1.2176470588235295,0.44736842105263147,0.5333333333333334,1.1263157894736842,0.4956521739130434,0.16666666666666663,1.4470588235294117,0.4411764705882354,0.4615384615384614
