,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
0,1,Cliff Politte,CWS,1,1,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,0.1
1,,Adam Bernero,ATL,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
2,,Matt Wise,MIL,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,0.1
3,,Ed Rogers,BAL,1,4,1,0,0,1,2,0,2,0,0,1.000,1.000,4.000,5.000,0.0
4,,Cliff Bartosh,CHC,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
5,,Chuck James,ATL,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,0.1
6,7,Esteban German,TEX,4,3,3,1,0,0,1,2,0,0,1,.750,.750,1.000,1.750,0.2
7,8,Wade Miller,BOS,3,0,2,0,0,0,0,0,0,0,1,.667,.667,.667,1.333,0.1
8,,Brandon Duckworth,HOU,3,1,2,1,0,0,0,0,0,0,0,.667,.667,1.000,1.667,0.1
9,10,Kevin Brown,NYY,2,0,1,1,0,0,0,0,0,0,1,.500,.500,1.000,1.500,0.1
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,,Dave McCarty,BOS,4,2,2,0,0,0,2,0,0,2,0,.500,.667,.500,1.167,0.2
12,,Salomon Torres,PIT,4,0,2,0,0,0,0,0,0,0,2,.500,.500,.500,1.000,0.1
13,,Jason Johnson,DET,2,1,1,0,0,1,1,0,0,0,0,.500,.500,2.000,2.500,0.1
14,,Brian Cooper,SF,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0.1
15,,Jon Garland,CWS,2,0,1,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,0.1
16,,Mike Maroth,DET,4,0,2,0,0,0,1,0,0,1,2,.500,.600,.500,1.100,0.2
17,,Ronny Paulino,PIT,4,1,2,0,0,0,0,0,0,1,0,.500,.600,.500,1.100,0.1
18,,Zack Greinke,KC,2,1,1,0,0,1,1,0,0,0,0,.500,.500,2.000,2.500,0.1
19,,Juan Padilla,NYM,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,0.0
20,,Dae-Sung Koo,NYM,2,1,1,1,0,0,0,0,0,0,1,.500,.500,1.000,1.500,0.0
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,,Jeremy Accardo,SF,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0.0
23,,Ryan Spilborghs,COL,4,0,2,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,0.1
24,23,Glenn Williams,MIN,40,3,17,1,0,0,3,1,2,2,7,.425,.452,.450,.902,0.0
25,24,Joe Borchard,CWS,12,0,5,2,0,0,0,0,1,0,4,.417,.417,.583,1.000,0.0
26,25,Dan Haren,OAK,5,0,2,1,0,0,2,0,0,0,0,.400,.400,.600,1.000,0.1
27,,Rick Short,WAS,15,4,6,2,0,2,4,0,0,1,1,.400,.471,.933,1.404,0.3
28,27,Ryan Zimmerman,WAS,58,6,23,10,0,0,6,0,0,3,12,.397,.419,.569,.988,0.6
29,28,Rene Rivera,SEA,48,3,19,3,0,1,6,0,0,1,11,.396,.408,.521,.929,0.5
30,29,Sergio Mitre,CHC,11,2,4,1,0,0,1,0,0,0,1,.364,.364,.455,.818,0.2
31,30,Chris Duffy,PIT,126,22,43,4,2,1,9,2,2,7,22,.341,.385,.429,.814,1.3
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,31,Kenny Lofton,PHI,367,67,123,15,5,2,36,22,3,32,41,.335,.392,.420,.811,3.4
34,32,Derrek Lee,CHC,594,120,199,50,3,46,107,15,3,85,109,.335,.418,.662,1.080,7.5
35,33,Kenny Rogers,TEX,3,0,1,0,1,0,1,0,0,0,1,.333,.333,1.000,1.333,0.1
36,,Todd Jones,FLA,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,0.0
37,,Jose Lima,KC,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,0.1
38,,Joey Eischen,WAS,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,0.2
39,,Billy Wagner,PHI,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,0.0
40,,Bartolo Colon,LAA,3,0,1,0,0,0,1,0,0,0,2,.333,.333,.333,.667,0.0
41,,Orlando Hernandez,CWS,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,0.0
42,,Bruce Chen,BAL,3,0,1,0,0,0,0,0,0,1,0,.333,.500,.333,.833,0.1
0,41,Joe Mays,MIN,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,0.0
1,,Aaron Fultz,PHI,3,1,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,0.1
2,,Matt Kinney,SF,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,0.0
3,,CC Sabathia,CLE,6,1,2,1,0,1,4,0,0,0,1,.333,.333,1.000,1.333,0.2
4,,Luis Ayala,WAS,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,0.1
5,,Jeff Mathis,LAA,3,1,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,0.0
6,,Lance Cormier,ARI,6,0,2,0,0,0,1,0,0,0,1,.333,.333,.333,.667,0.1
7,,Brendan Harris,WAS,9,1,3,1,0,1,3,0,0,0,0,.333,.400,.778,1.178,0.1
8,,Joe Blanton,OAK,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,0.0
9,,Rich Hill,CHC,6,1,2,0,0,0,0,0,0,0,2,.333,.333,.333,.667,0.1
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,,Randy Messenger,FLA,3,0,1,0,0,0,0,0,0,1,1,.333,.500,.333,.833,0.0
12,,Jason Bergmann,WAS,3,2,1,0,0,0,0,0,0,1,0,.333,.500,.333,.833,0.1
13,53,Placido Polanco,DET/PHI,501,84,166,27,2,9,56,4,3,33,25,.331,.383,.447,.830,5.8
14,54,Michael Young,TEX,668,114,221,40,5,24,91,5,2,58,91,.331,.385,.513,.899,3.0
15,55,Albert Pujols,STL,591,129,195,38,2,41,117,16,2,97,65,.330,.430,.609,1.039,8.2
16,56,Ryan Shealy,COL,91,14,30,7,0,2,16,1,0,13,22,.330,.413,.473,.886,0.6
17,57,Willy Aybar,LA,86,12,28,8,0,1,10,3,1,18,11,.326,.448,.453,.901,0.9
18,58,Alex Sanchez,SF/TB,176,32,57,11,1,2,16,8,5,8,34,.324,.353,.432,.785,-0.2
19,59,Miguel Cabrera,FLA,613,106,198,43,2,33,116,1,0,64,125,.323,.385,.561,.947,4.9
20,60,Jason Tyner,MIN,56,8,18,1,1,0,5,2,0,4,4,.321,.367,.375,.742,0.5
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,,Matt Murton,CHC,140,19,45,3,2,7,14,2,1,16,22,.321,.386,.521,.908,1.0
23,62,Moises Alou,SF,427,67,137,21,3,19,63,5,1,56,43,.321,.400,.518,.918,3.2
24,63,Alex Rodriguez,NYY,605,124,194,29,1,48,130,21,6,91,139,.321,.421,.610,1.031,9.1
25,64,Carlos Guillen,DET,334,48,107,15,4,5,23,2,3,24,45,.320,.368,.434,.803,2.3
