,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
26,65,Todd Helton,COL,509,92,163,45,2,20,79,3,0,106,80,.320,.445,.534,.979,4.4
27,66,Mike Hampton,ATL,25,4,8,1,0,1,1,0,0,0,9,.320,.346,.480,.826,0.4
28,,Luke Hudson,CIN,25,7,8,2,0,0,3,0,0,2,9,.320,.370,.400,.770,0.6
29,68,Vladimir Guerrero,LAA,520,95,165,29,2,32,108,13,1,61,48,.317,.394,.565,.959,5.4
30,69,Johnny Damon,BOS,624,117,197,35,6,10,75,18,1,53,69,.316,.366,.439,.805,3.8
31,70,Mark Ellis,OAK,434,76,137,21,5,13,52,1,3,44,51,.316,.384,.477,.861,4.5
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,71,Lenny Harris,FLA,70,5,22,4,0,1,13,0,1,7,11,.314,.385,.414,.799,0.3
34,72,Brian Roberts,BAL,561,92,176,45,7,18,73,27,10,67,83,.314,.387,.515,.903,7.0
35,73,Rondell White,DET,374,49,117,24,3,12,53,1,0,17,48,.313,.348,.489,.837,1.5
36,74,Jorge Piedra,COL,112,19,35,8,1,6,16,2,1,10,15,.313,.371,.563,.933,0.1
37,75,Sean Casey,CIN,529,75,165,32,0,9,58,2,0,48,48,.312,.371,.423,.795,0.8
38,76,Mike Redmond,MIN,148,17,46,9,0,1,26,0,0,6,14,.311,.350,.392,.742,0.5
39,77,Jason Marquis,STL,87,10,27,8,1,1,10,0,0,2,11,.310,.326,.460,.786,1.4
40,78,Mike Jacobs,NYM,100,19,31,7,0,11,23,0,0,10,22,.310,.375,.710,1.085,0.9
41,79,Derek Jeter,NYY,654,122,202,25,5,19,70,14,5,77,117,.309,.389,.450,.839,3.7
42,80,Tony Graffanino,BOS/KC,379,68,117,17,3,7,38,7,2,31,51,.309,.366,.425,.791,1.5
0,81,Chad Tracy,ARI,503,73,155,34,4,27,72,3,1,35,78,.308,.359,.553,.911,3.5
1,82,Kenny Kelly,CIN/WAS,13,5,4,1,0,0,2,1,2,1,6,.308,.357,.385,.742,-0.1
2,,Ramon Nivar,BAL,13,1,4,0,0,0,1,0,1,0,2,.308,.357,.308,.665,0.1
3,,Jason Vargas,FLA,26,3,8,2,0,0,2,0,0,1,7,.308,.333,.385,.718,0.3
4,,John-Ford Griffin,TOR,13,3,4,2,0,1,6,0,0,0,4,.308,.308,.692,1.000,0.1
5,86,Matt Holliday,COL,479,68,147,24,7,19,87,14,3,36,79,.307,.361,.505,.866,2.6
6,87,Eddy Garabito,COL,88,15,27,5,0,1,8,3,2,8,12,.307,.384,.398,.782,-0.1
7,88,Randy Winn,SEA/SF,617,85,189,47,6,20,63,19,11,48,91,.306,.360,.499,.859,3.4
8,89,David Wright,NYM,575,99,176,42,1,27,102,17,7,72,113,.306,.388,.523,.912,4.5
9,90,Brady Clark,MIL,599,94,183,31,1,13,53,10,13,47,55,.306,.372,.426,.798,2.3
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,,Jason Bay,PIT,599,110,183,44,6,32,101,21,1,95,142,.306,.402,.559,.961,5.4
12,92,Victor Martinez,CLE,547,73,167,33,0,20,80,0,1,63,78,.305,.378,.475,.853,4.8
13,93,Hideki Matsui,NYY,629,108,192,45,3,23,116,2,2,63,78,.305,.367,.496,.863,4.1
14,94,Wilson Betemit,ATL,246,36,75,12,4,4,20,1,3,22,55,.305,.359,.435,.794,1.4
15,95,Todd Walker,CHC,397,50,121,25,3,12,40,1,1,31,40,.305,.355,.474,.829,1.6
16,96,Travis Hafner,CLE,486,94,148,42,0,33,108,0,0,79,123,.305,.408,.595,1.003,5.1
17,97,Jason Michaels,PHI,289,54,88,16,2,4,31,3,3,44,45,.304,.399,.415,.814,2.6
18,98,Jeff Conine,FLA,335,42,102,20,2,3,33,2,0,38,58,.304,.374,.403,.777,-0.5
19,99,Josh Willingham,FLA,23,3,7,1,0,0,4,0,0,2,5,.304,.407,.348,.755,0.1
20,100,Miguel Tejada,BAL,654,89,199,50,5,26,98,5,1,40,83,.304,.349,.515,.865,5.5
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,101,Tony Clark,ARI,349,47,106,22,2,30,87,0,0,37,88,.304,.366,.636,1.003,3.2
23,102,Ichiro Suzuki,SEA,679,111,206,21,12,15,68,33,8,48,66,.303,.350,.436,.786,3.7
24,103,Walter Young,BAL,33,2,10,1,0,1,3,0,0,4,7,.303,.378,.424,.803,0.1
25,104,Aramis Ramirez,CHC,463,72,140,30,0,31,92,0,1,35,60,.302,.358,.568,.926,3.4
26,105,Magglio Ordonez,DET,305,38,92,17,0,8,46,0,0,30,35,.302,.359,.436,.795,1.4
27,106,Ken Griffey Jr.,CIN,491,85,148,30,0,35,92,0,1,54,93,.301,.369,.576,.946,3.5
28,107,Carlos Delgado,FLA,521,81,157,41,3,33,115,0,0,72,121,.301,.399,.582,.981,2.5
29,108,Mark Teixeira,TEX,644,112,194,41,3,43,144,4,0,72,124,.301,.379,.575,.954,7.0
30,,Carl Crawford,TB,644,101,194,33,15,15,81,46,8,27,84,.301,.331,.469,.800,4.1
31,110,Brian Giles,SD,545,92,164,38,8,15,83,13,5,119,64,.301,.423,.483,.905,4.6
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,111,Frank Catalanotto,TOR,419,56,126,29,5,8,59,0,2,37,53,.301,.367,.451,.818,2.2
34,112,Luis Castillo,FLA,439,72,132,12,4,4,30,10,7,65,32,.301,.391,.374,.765,3.4
35,113,Adam Kennedy,LAA,416,49,125,23,0,2,37,19,4,29,64,.300,.354,.370,.724,3.7
36,114,Mike Sweeney,KC,470,63,141,39,0,21,83,3,0,33,61,.300,.347,.517,.864,1.5
37,,Carlos Zambrano,CHC,80,8,24,6,2,1,6,0,0,0,25,.300,.300,.463,.763,1.0
38,,Pete Orr,ATL,150,32,45,8,1,1,8,7,1,6,23,.300,.331,.387,.718,0.5
39,,Ronny Cedeno,CHC,80,13,24,3,0,1,6,1,0,5,11,.300,.356,.375,.731,0.0
40,118,Coco Crisp,CLE,594,86,178,42,4,16,69,15,6,44,81,.300,.345,.465,.810,4.2
41,119,Jeff Francoeur,ATL,257,41,77,20,1,14,45,3,2,11,58,.300,.336,.549,.884,3.0
42,120,David Ortiz,BOS,601,119,180,40,1,47,148,1,0,102,124,.300,.397,.604,1.001,5.1
0,121,Chris Shelton,DET,388,61,116,22,3,18,59,0,0,34,87,.299,.360,.510,.870,2.3
1,122,Wes Helms,MIL,168,18,50,13,1,4,24,0,1,14,30,.298,.356,.458,.815,0.8
2,123,Antonio Perez,LA,259,28,77,13,2,3,23,11,4,21,61,.297,.360,.398,.758,1.1
3,124,Robinson Cano,NYY,522,78,155,34,4,14,62,1,3,16,68,.297,.320,.458,.778,0.5
4,125,Jason Botts,TEX,27,4,8,0,0,0,3,0,0,3,13,.296,.367,.296,.663,-0.1
5,126,Chipper Jones,ATL,358,66,106,30,0,21,72,5,1,72,56,.296,.412,.556,.968,3.9
6,127,Julio Lugo,TB,616,89,182,36,6,6,57,39,11,61,72,.295,.362,.403,.765,4.0
7,128,John Rodriguez,STL,149,15,44,6,0,5,24,2,0,19,45,.295,.382,.436,.818,0.2
8,129,Bengie Molina,LAA,410,45,121,17,0,15,69,0,2,27,41,.295,.336,.446,.782,2.2
9,130,Bill Mueller,BOS,519,69,153,34,3,10,62,0,0,59,74,.295,.369,.430,.799,2.9
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,131,Joe Mauer,MIN,489,61,144,26,2,9,55,13,1,61,64,.294,.372,.411,.783,2.5
12,132,Mark Sweeney,SD,221,31,65,12,1,8,40,4,0,40,58,.294,.395,.466,.861,1.8
13,,Shane Victorino,PHI,17,5,5,0,0,2,8,0,0,0,3,.294,.263,.647,.910,0.2
14,134,David Eckstein,STL,630,90,185,26,7,8,61,11,8,58,44,.294,.363,.395,.758,2.7
15,,Cory Sullivan,COL,378,64,111,15,4,4,30,12,3,28,83,.294,.343,.386,.729,0.7
16,136,Aaron Guiel,KC,109,18,32,5,0,4,7,1,0,6,21,.294,.355,.450,.805,1.3
17,137,Mark Grudzielanek,STL,528,64,155,30,3,8,59,8,6,26,81,.294,.334,.407,.741,3.9
18,138,David DeJesus,KC,461,69,135,31,6,9,56,5,5,42,76,.293,.359,.445,.804,4.2
19,139,Lance Berkman,HOU,468,76,137,34,1,24,82,4,1,91,72,.293,.411,.524,.934,3.0
20,140,Jeremy Hermida,FLA,41,9,12,2,0,4,11,2,0,6,12,.293,.383,.634,1.017,0.8
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,141,Manny Ramirez,BOS,554,112,162,30,1,45,144,1,0,80,119,.292,.388,.594,.982,4.1
23,142,Luis Gonzalez,COL,404,51,118,25,0,9,44,3,4,20,63,.292,.333,.421,.753,0.2
24,143,Geoff Jenkins,MIL,538,87,157,42,1,25,86,0,0,56,138,.292,.375,.513,.888,4.4
25,144,Jhonny Peralta,CLE,504,82,147,35,4,24,78,0,2,58,128,.292,.366,.520,.885,4.8
26,145,Bill Hall,MIL,501,69,146,39,6,17,62,18,6,39,103,.291,.342,.495,.837,3.5
27,146,Freddy Sanchez,PIT,453,54,132,26,4,5,35,2,2,27,36,.291,.336,.400,.736,3.1
28,147,Felipe Lopez,CIN,580,97,169,34,5,23,85,15,7,57,111,.291,.352,.486,.838,4.0
29,148,Shea Hillenbrand,TOR,594,91,173,36,2,18,82,5,1,26,79,.291,.343,.449,.792,1.5
30,149,Marcus Giles,ATL,577,104,168,45,4,15,63,16,3,64,108,.291,.365,.461,.826,3.7
31,150,Gary Sheffield,NYY,584,104,170,27,0,34,123,10,2,78,76,.291,.379,.512,.891,3.8
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,151,Chase Utley,PHI,543,93,158,39,6,28,105,16,3,69,109,.291,.376,.540,.915,7.0
34,152,Willy Taveras,HOU,592,82,172,13,4,3,29,34,11,25,103,.291,.325,.341,.666,1.6
35,153,Ramon Hernandez,SD,369,36,107,19,2,12,58,1,0,18,40,.290,.322,.450,.772,2.4
36,154,Scott Podsednik,CWS,507,80,147,28,1,0,25,59,23,47,75,.290,.351,.349,.700,1.5
37,155,Milton Bradley,LA,283,49,82,14,1,13,38,6,1,25,47,.290,.350,.484,.835,1.2
38,156,Ray Durham,SF,497,67,144,33,0,12,62,6,3,48,59,.290,.356,.429,.785,1.7
39,157,Chone Figgins,LAA,642,113,186,25,10,8,57,62,17,64,101,.290,.352,.397,.749,3.7
40,158,Jimmy Rollins,PHI,677,115,196,38,11,12,54,41,6,47,71,.290,.338,.431,.770,4.7
41,159,Jeff Kent,LA,553,100,160,36,0,29,105,6,2,72,85,.289,.377,.512,.889,3.5
42,160,Nick Johnson,WAS,453,66,131,35,3,15,74,3,8,80,87,.289,.408,.479,.887,3.4
0,161,Grady Sizemore,CLE,640,111,185,37,11,22,81,22,10,52,132,.289,.348,.484,.832,6.4
1,162,John Olerud,BOS,173,18,50,7,0,7,37,0,0,16,20,.289,.344,.451,.795,0.6
2,163,Larry Walker,STL,315,66,91,20,1,15,52,2,1,41,64,.289,.384,.502,.886,2.2
3,164,Clint Barmes,COL,350,55,101,19,1,10,46,6,4,16,36,.289,.330,.434,.764,2.5
4,165,Ryan Howard,PHI,312,52,90,17,2,22,63,0,1,33,100,.288,.356,.567,.924,2.9
5,166,Prince Fielder,MIL,59,2,17,4,0,2,10,0,0,2,17,.288,.306,.458,.764,0.0
6,167,So Taguchi,STL,396,45,114,21,2,8,53,11,2,20,62,.288,.322,.412,.734,0.9
7,168,Bernie Castro,BAL,80,14,23,3,1,0,7,6,2,9,10,.288,.360,.350,.710,0.0
8,169,Ryan Church,WAS,268,41,77,15,3,9,42,3,2,24,70,.287,.353,.466,.820,1.3
9,170,Garrett Atkins,COL,519,62,149,31,1,13,89,0,2,45,72,.287,.347,.426,.773,2.0
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,171,Toby Hall,TB,432,28,124,20,0,5,48,0,0,16,39,.287,.315,.368,.683,2.6
12,172,Juan Encarnacion,FLA,506,59,145,27,3,16,76,6,5,41,104,.287,.349,.447,.795,0.4
13,173,Emil Brown,KC,545,75,156,31,5,17,86,10,1,48,108,.286,.349,.455,.804,-0.1
14,174,Jorge Cantú,TB,598,73,171,40,1,28,117,1,0,19,83,.286,.311,.497,.808,0.8
15,175,Barry Bonds,SF,42,8,12,1,0,5,10,0,0,9,6,.286,.404,.667,1.071,0.6
16,,Shawn Green,ARI,581,87,166,37,4,22,73,8,4,62,95,.286,.355,.477,.832,0.8
17,,Bobby Abreu,PHI,588,104,168,37,1,24,102,31,9,117,134,.286,.405,.474,.879,3.4
18,,J.D. Drew,LA,252,48,72,12,1,15,36,1,1,51,50,.286,.412,.520,.931,3.1
19,,Felix Escalona,NYY,14,0,4,1,0,0,2,0,0,1,4,.286,.375,.357,.732,0.4
20,,Pedro Lopez,CWS,7,1,2,0,0,0,2,0,0,0,1,.286,.286,.286,.571,0.0
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,,Freddie Bynum,OAK,7,0,2,1,0,0,1,0,0,0,3,.286,.286,.429,.714,0.0
23,182,Abraham Nunez,STL,421,64,120,13,2,5,44,0,1,37,63,.285,.343,.361,.704,2.1
24,183,Hector Luna,STL,137,26,39,10,2,1,18,10,2,9,25,.285,.344,.409,.753,0.7
25,184,Orlando Palmeiro,HOU,204,22,58,17,2,3,20,3,1,15,23,.284,.341,.431,.772,0.1
26,185,Rafael Furcal,ATL,616,100,175,31,11,12,58,46,10,62,78,.284,.348,.429,.777,6.3
27,186,Ronnie Belliard,CLE,536,71,152,36,1,17,78,2,2,35,72,.284,.325,.450,.774,4.2
28,187,Garret Anderson,LAA,575,68,163,34,1,17,96,1,1,23,84,.283,.308,.435,.743,-0.4
29,,Paul Konerko,CWS,575,98,163,24,0,40,100,0,0,81,109,.283,.375,.534,.909,3.7
30,189,Melvin Mora,BAL,593,86,168,30,1,27,88,7,4,50,112,.283,.348,.474,.821,4.0
31,190,Morgan Ensberg,HOU,526,86,149,30,3,36,101,6,7,85,119,.283,.388,.557,.945,6.0
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,191,Chris Woodward,NYM,173,16,49,10,0,3,18,0,0,13,46,.283,.337,.393,.730,0.8
34,192,Paul Lo Duca,FLA,445,45,126,23,1,6,57,4,3,34,31,.283,.334,.380,.714,1.0
35,193,Jose Guillen,WAS,551,81,156,32,2,24,76,1,1,31,102,.283,.338,.479,.817,3.4
36,194,Chad Allen,TEX,53,5,15,1,1,0,5,0,1,2,13,.283,.309,.340,.649,-0.3
37,195,Nomar Garciaparra,CHC,230,28,65,12,0,9,30,0,0,12,24,.283,.320,.452,.772,0.1
38,196,Rich Aurilia,CIN,426,61,120,23,2,14,68,2,0,37,67,.282,.338,.444,.782,1.4
39,197,Jonny Gomes,TB,348,61,98,13,6,21,54,9,5,39,113,.282,.372,.534,.906,2.2
40,198,Roberto Petagine,BOS,32,4,9,2,0,1,9,0,0,4,5,.281,.361,.438,.799,-0.1
41,199,Pat Burrell,PHI,562,78,158,27,1,32,117,0,0,99,160,.281,.389,.504,.892,3.4
42,200,Jeff Cirillo,MIL,185,29,52,15,0,4,23,4,2,23,22,.281,.373,.427,.800,1.3
0,201,Matt Diaz,KC,89,7,25,4,2,1,9,0,1,4,15,.281,.323,.404,.727,-0.3
1,202,Aaron Miles,COL,324,37,91,12,3,2,28,4,2,8,38,.281,.306,.355,.661,-1.0
2,203,Jason Varitek,BOS,470,70,132,30,1,22,70,2,0,62,117,.281,.366,.489,.856,3.6
3,204,Javier Valentin,CIN,221,36,62,11,0,14,50,0,0,30,37,.281,.362,.520,.883,1.4
4,205,Luis Matos,BAL,389,53,109,20,2,4,32,17,9,27,58,.280,.340,.373,.712,1.4
5,206,Raul Ibanez,SEA,614,92,172,32,2,20,89,9,4,71,99,.280,.355,.436,.792,2.9
6,207,Mark Kotsay,OAK,582,75,163,35,1,15,82,5,5,40,51,.280,.325,.421,.746,2.6
7,208,Mark Loretta,SD,404,54,113,16,1,3,38,8,4,45,34,.280,.360,.347,.707,0.2
8,209,Terrence Long,KC,455,62,127,21,3,6,53,3,3,30,56,.279,.321,.378,.699,-0.1
9,210,Rey Sanchez,NYY,43,7,12,1,0,0,2,0,1,2,3,.279,.326,.302,.628,-0.5
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,211,Chris Gomez,BAL,219,27,61,11,0,1,18,2,1,27,17,.279,.359,.342,.701,-0.4
12,212,Javy Lopez,BAL,395,47,110,24,1,15,49,0,1,19,68,.278,.322,.458,.780,1.8
13,,Ricky Ledee,LA,237,31,66,16,1,7,39,0,0,20,55,.278,.335,.443,.778,0.7
14,,Kevin Youkilis,BOS,79,11,22,7,0,1,9,0,1,14,19,.278,.400,.405,.805,0.1
15,215,Michael Morse,SEA,230,27,64,10,1,3,23,3,1,18,50,.278,.349,.370,.718,-0.7
16,216,Tadahito Iguchi,CWS,511,74,142,25,6,15,71,15,5,47,114,.278,.342,.438,.780,2.5
17,217,Casey Kotchman,LAA,126,16,35,5,0,7,22,1,1,15,18,.278,.352,.484,.836,0.2
18,,Brian McCann,ATL,180,20,50,7,0,5,23,1,1,18,26,.278,.345,.400,.745,0.2
19,219,Edgardo Alfonzo,SF,368,36,102,17,1,2,43,2,0,27,34,.277,.327,.345,.672,-1.1
20,220,John McDonald,DET/TOR,166,18,46,6,1,0,16,6,1,11,24,.277,.326,.325,.651,1.0
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,221,Craig Monroe,DET,567,69,157,30,3,20,89,8,3,40,95,.277,.322,.446,.768,1.3
23,222,Ramon Martinez,DET/PHI,112,11,31,3,0,1,14,0,0,6,11,.277,.309,.330,.639,-0.8
24,223,Jay Gibbons,BAL,488,72,135,33,3,26,79,0,0,28,56,.277,.317,.516,.833,1.9
25,224,Bobby Crosby,OAK,333,66,92,25,4,9,38,0,0,35,54,.276,.346,.456,.802,3.5
26,225,Edgar Renteria,BOS,623,100,172,36,4,8,70,9,4,55,100,.276,.335,.385,.721,1.1
27,226,Michael Barrett,CHC,424,48,117,32,3,16,61,0,3,40,61,.276,.345,.479,.824,1.8
28,227,Juan Pierre,FLA,656,96,181,19,13,2,47,57,17,41,45,.276,.326,.354,.680,0.2
29,228,Pablo Ozuna,CWS,203,27,56,7,2,0,11,14,7,7,26,.276,.313,.330,.643,0.3
30,,Chris Snelling,SEA,29,4,8,2,0,1,1,0,2,5,2,.276,.382,.448,.831,0.4
31,,Joey Gathright,TB,203,29,56,7,3,0,13,20,5,10,39,.276,.316,.340,.656,2.2
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,231,Iván Rodríguez,DET,504,71,139,33,5,14,50,7,3,11,93,.276,.290,.444,.735,2.5
34,232,Joe Randa,CIN/SD,555,71,153,43,2,17,68,0,1,47,81,.276,.335,.452,.787,1.9
