,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
41,39,Terrell Lowery,SF,34,13,15,4,0,1,5,1,0,7,8,.441,.548,.647,1.195,0.5
42,40,Mike Morgan,ARI,16,0,7,0,0,0,1,0,0,0,5,.438,.438,.438,.875,0.3
0,41,Doug Mientkiewicz,MIN,14,0,6,0,0,0,4,0,0,0,0,.429,.400,.429,.829,-0.1
1,,Jorge Toca,NYM,7,1,3,1,0,0,4,0,0,0,1,.429,.429,.571,1.000,0.0
2,,Keith McDonald,STL,7,3,3,0,0,3,5,0,0,2,1,.429,.556,1.714,2.270,0.3
3,,Frank Charles,HOU,7,1,3,1,0,0,2,0,0,0,2,.429,.429,.571,1.000,0.0
4,45,Scott Erickson,BAL,5,2,2,1,0,0,1,0,0,0,0,.400,.400,.600,1.000,0.1
5,,Paul Abbott,SEA,5,1,2,1,0,0,0,0,0,0,1,.400,.400,.600,1.000,0.1
6,,Joe Mays,MIN,5,1,2,1,0,0,0,0,0,0,2,.400,.400,.600,1.000,0.2
7,48,Gary DiSarcina,ANA,38,6,15,2,0,1,11,0,1,1,3,.395,.425,.526,.951,0.5
8,49,Adam Hyzdu,PIT,18,2,7,2,0,1,4,0,0,0,4,.389,.389,.667,1.056,0.1
9,50,Hector Ortiz,KC,88,15,34,6,0,0,5,0,0,8,8,.386,.443,.455,.898,0.9
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,51,Todd Helton,COL,580,138,216,59,2,42,147,5,3,103,61,.372,.463,.698,1.162,8.6
12,52,Nomar Garciaparra,BOS,529,104,197,51,3,21,96,5,2,61,50,.372,.434,.599,1.033,7.1
13,53,Joe Crede,CWS,14,2,5,1,0,0,3,0,0,0,3,.357,.333,.429,.762,0.0
14,54,Darin Erstad,ANA,676,121,240,39,6,25,100,28,8,64,82,.355,.409,.541,.951,8.2
15,55,Moises Alou,HOU,454,82,161,28,2,30,114,3,3,52,45,.355,.416,.623,1.039,2.4
16,56,Roosevelt Brown,CHC,91,11,32,8,0,3,14,0,1,4,22,.352,.378,.538,.916,0.5
17,57,John Barnes,MIN,37,5,13,4,0,0,2,0,1,2,6,.351,.415,.459,.874,0.2
18,58,Manny Ramirez,CLE,439,92,154,34,2,38,122,1,1,86,117,.351,.457,.697,1.154,4.6
19,59,Iván Rodríguez,TEX,363,66,126,27,4,27,83,5,5,19,48,.347,.375,.667,1.042,4.6
20,60,Vladimir Guerrero,MON,571,101,197,28,11,44,123,9,10,58,74,.345,.410,.664,1.074,5.7
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,61,Carlos Delgado,TOR,569,115,196,57,1,41,137,0,1,123,104,.344,.470,.664,1.134,6.9
23,62,Ellis Burks,SF,393,74,135,21,5,24,96,5,1,56,49,.344,.419,.606,1.025,4.8
24,63,Ozzie Timmons,TB,41,9,14,3,0,4,13,0,0,1,7,.341,.357,.707,1.064,0.2
25,64,D.T. Cromer,CIN,47,7,16,4,0,2,8,0,0,1,14,.340,.360,.553,.913,0.2
26,65,Derek Jeter,NYY,593,119,201,31,4,15,73,22,4,68,99,.339,.416,.481,.896,4.4
27,66,Jeffrey Hammonds,COL,454,94,152,24,2,20,106,14,7,44,83,.335,.395,.529,.924,2.1
28,67,David Segui,CLE/TEX,574,93,192,42,1,19,103,0,1,53,84,.334,.388,.510,.898,2.2
29,68,Chris Stynes,CIN,380,71,127,24,1,12,40,5,2,32,54,.334,.386,.497,.883,2.4
30,69,Luis Castillo,FLA,539,101,180,17,3,2,17,62,22,78,86,.334,.418,.388,.806,4.4
31,70,Jeff Kent,SF,587,114,196,41,7,33,125,12,9,90,107,.334,.424,.596,1.021,6.9
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,71,David Cone,NYY,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,0.0
34,,Ken Hill,ANA/CWS,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,0.0
35,,Willie Blair,DET,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,0.0
36,,Jason Giambi,OAK,510,108,170,29,1,43,137,2,0,137,96,.333,.476,.647,1.123,7.4
37,,Bryan Rekar,TB,3,0,1,1,0,0,1,0,0,0,1,.333,.333,.667,1.000,0.1
38,,Mike Sweeney,KC,618,105,206,30,0,29,144,8,3,71,67,.333,.407,.523,.930,3.6
39,,Bobby Chouinard,COL,3,1,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,0.1
40,,Matt Morris,STL,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,0.2
41,,Jarrod Washburn,ANA,3,0,1,0,0,0,2,0,0,1,0,.333,.500,.333,.833,0.1
42,,Stan Spencer,SD,12,0,4,1,0,0,1,0,0,0,6,.333,.333,.417,.750,0.2
0,81,Mike Kinkade,BAL/NYM,9,0,3,1,0,0,1,0,0,0,1,.333,.400,.444,.844,0.0
1,,Scott Schoeneweis,ANA,3,0,1,0,0,0,1,0,0,0,0,.333,.333,.333,.667,0.0
2,,Mike Garcia,PIT,3,1,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,0.0
3,,Damian Rolls,TB,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,0.0
4,,Aaron Fultz,SF,6,0,2,0,0,0,0,0,0,0,1,.333,.333,.333,.667,0.0
5,,Pablo Ozuna,FLA,24,2,8,1,0,0,0,1,0,0,2,.333,.333,.375,.708,0.2
6,,Keith Luuloa,ANA,18,3,6,0,0,0,0,0,0,1,1,.333,.368,.333,.702,-0.1
7,,Nelson Figueroa,ARI,3,1,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,0.1
8,,Tike Redman,PIT,18,2,6,1,0,1,1,1,0,1,7,.333,.368,.556,.924,0.1
9,,Elvis Pena,COL,9,1,3,1,0,0,1,1,0,1,1,.333,.400,.444,.844,0.0
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,,Rodney Lindsey,DET,3,6,1,1,0,0,0,2,1,0,1,.333,.500,.667,1.167,0.1
12,92,Jose Vidro,MON,606,101,200,51,2,24,97,5,4,49,69,.330,.379,.540,.918,3.6
13,93,Frank Thomas,CWS,582,115,191,44,0,43,143,1,3,112,94,.328,.436,.625,1.061,5.8
14,94,Johnny Damon,KC,655,136,214,42,10,16,88,46,9,65,60,.327,.382,.495,.877,6.0
15,95,Jeff Cirillo,COL,598,111,195,53,2,11,115,3,4,67,72,.326,.392,.477,.869,3.2
16,96,Gary Sheffield,LA,501,105,163,24,3,43,109,4,6,101,71,.325,.438,.643,1.081,5.8
17,97,Edgar Martinez,SEA,556,100,180,31,0,37,145,3,0,96,95,.324,.423,.579,1.002,5.4
18,98,Mike Piazza,NYM,482,90,156,26,0,38,113,4,2,58,69,.324,.398,.614,1.012,4.9
19,99,Edgardo Alfonzo,NYM,544,109,176,40,2,25,94,3,2,95,70,.324,.425,.542,.967,6.1
20,100,Tony Gwynn,SD,127,17,41,12,0,1,17,0,1,9,4,.323,.364,.441,.805,0.3
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,101,Ben Petrick,COL,146,32,47,10,1,3,20,1,2,20,33,.322,.401,.466,.867,0.4
23,102,Jermaine Dye,KC,601,107,193,41,2,33,118,0,1,69,99,.321,.390,.561,.951,4.3
24,103,Jimmy Rollins,PHI,53,5,17,1,1,0,5,3,0,2,7,.321,.345,.377,.723,-0.1
25,104,Travis Fryman,CLE,574,93,184,38,4,22,106,1,1,73,111,.321,.392,.516,.908,4.4
26,105,Lou Merloni,BOS,128,10,41,11,2,0,18,1,0,4,22,.320,.341,.438,.778,0.0
27,106,Larry Sutton,STL,25,5,8,0,0,1,6,0,0,5,7,.320,.406,.440,.846,0.1
28,107,Darrin Fletcher,TOR,416,43,133,19,1,20,58,1,0,20,45,.320,.355,.514,.869,2.1
29,108,Sammy Sosa,CHC,604,106,193,38,1,50,138,7,4,91,168,.320,.406,.634,1.040,5.5
30,109,Jason Kendall,PIT,579,112,185,33,6,14,58,22,12,79,79,.320,.412,.470,.882,4.3
31,110,Shannon Stewart,TOR,583,107,186,43,5,21,69,20,5,37,79,.319,.363,.518,.882,4.8
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,111,Will Clark,BAL/STL,427,78,136,30,2,21,70,5,2,69,69,.319,.418,.546,.964,3.8
34,112,Bobby Abreu,PHI,576,103,182,42,10,25,79,28,8,100,116,.316,.416,.554,.970,5.9
35,113,Alex Rodriguez,SEA,554,134,175,34,2,41,132,15,4,100,121,.316,.420,.606,1.026,10.1
36,114,Craig Counsell,ARI,152,23,48,8,1,2,11,3,3,20,18,.316,.400,.421,.821,1.0
37,,Placido Polanco,STL,323,50,102,12,3,5,39,4,4,16,26,.316,.347,.418,.765,1.9
38,116,Alex Ochoa,CIN,244,50,77,21,3,13,58,9,4,24,27,.316,.378,.586,.964,2.3
39,117,Adrian Brown,PIT,308,64,97,18,3,4,28,13,1,29,34,.315,.373,.432,.805,1.4
40,118,Brian Giles,PIT,559,111,176,37,7,35,123,6,0,114,69,.315,.432,.594,1.026,6.2
41,119,Magglio Ordonez,CWS,588,102,185,34,3,32,126,18,4,60,64,.315,.371,.546,.917,2.4
42,120,Sean Casey,CIN,480,69,151,33,2,20,85,1,0,52,80,.315,.385,.517,.902,3.2
0,121,Richard Hidalgo,HOU,558,118,175,42,3,44,122,13,6,56,110,.314,.391,.636,1.028,6.0
1,122,Barry Larkin,CIN,396,71,124,26,5,11,41,14,6,48,31,.313,.389,.487,.876,2.4
2,123,Olmedo Saenz,OAK,214,40,67,12,2,9,33,1,0,25,40,.313,.401,.514,.915,1.8
3,124,Greg Colbrunn,ARI,329,48,103,22,1,15,57,0,1,43,45,.313,.405,.523,.928,1.9
4,125,Rondell White,CHC/MON,357,59,111,26,0,13,61,5,3,33,79,.311,.374,.493,.867,2.2
5,126,Chipper Jones,ATL,579,118,180,38,1,36,111,14,7,95,64,.311,.404,.566,.970,5.4
6,127,Luis Gonzalez,ARI,618,106,192,47,2,31,114,2,4,78,85,.311,.392,.544,.935,3.9
7,128,Charles Gipson,SEA,29,7,9,1,1,0,3,2,3,4,9,.310,.394,.414,.808,0.2
8,,Luis Rivas,MIN,58,8,18,4,1,0,6,2,0,2,4,.310,.323,.414,.736,0.0
9,130,Jeff Bagwell,HOU,590,152,183,37,1,47,132,9,6,107,116,.310,.424,.615,1.039,5.1
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,131,Juan Pierre,COL,200,26,62,2,0,0,20,7,6,13,15,.310,.353,.320,.673,0.2
12,132,Roberto Alomar,CLE,610,111,189,40,2,19,89,39,4,64,82,.310,.378,.475,.853,5.3
13,133,Larry Walker,COL,314,64,97,21,7,9,51,5,5,46,40,.309,.409,.506,.915,1.5
14,134,Quilvio Veras,ATL,298,56,92,15,0,5,37,25,12,51,50,.309,.413,.409,.823,2.2
15,135,Mark DeRosa,ATL,13,9,4,1,0,0,3,0,0,2,1,.308,.400,.385,.785,0.1
16,136,Bernie Williams,NYY,537,108,165,37,6,30,121,13,5,71,84,.307,.391,.566,.957,4.9
17,137,A.J. Pierzynski,MIN,88,12,27,5,1,2,11,1,0,5,14,.307,.354,.455,.809,0.6
18,138,Jeff Frye,BOS/COL,326,49,100,19,0,1,16,5,3,36,54,.307,.377,.374,.751,0.8
19,139,Barry Bonds,SF,480,129,147,28,4,49,106,11,3,117,77,.306,.440,.688,1.127,7.5
20,140,Chris Clapinski,FLA,49,12,15,4,1,1,7,0,0,5,7,.306,.370,.490,.860,0.3
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,141,Mark McGwire,STL,236,60,72,8,0,32,73,1,0,76,78,.305,.483,.746,1.229,4.1
23,142,Matt Lawton,MIN,561,84,171,44,2,13,88,23,7,91,63,.305,.405,.460,.865,2.1
24,143,Charles Johnson,BAL/CWS,421,76,128,24,0,31,91,2,0,52,106,.304,.379,.582,.961,4.8
25,144,Joe Randa,KC,612,88,186,29,4,15,106,6,3,36,66,.304,.343,.438,.781,2.2
26,145,Andruw Jones,ATL,656,122,199,36,6,36,104,21,6,59,100,.303,.366,.541,.907,8.0
27,146,Eric Davis,STL,254,38,77,14,0,6,40,1,1,36,60,.303,.389,.429,.818,1.3
28,147,Phil Nevin,SD,538,87,163,34,1,31,107,2,0,59,121,.303,.374,.543,.916,3.9
29,148,Dmitri Young,CIN,548,68,166,37,6,18,88,0,3,36,80,.303,.346,.491,.837,0.8
30,149,Geoff Jenkins,MIL,512,100,155,36,4,34,94,11,1,33,135,.303,.360,.588,.948,4.2
31,150,Deivi Cruz,DET,583,68,176,46,5,10,82,1,4,13,43,.302,.318,.449,.767,2.3
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,151,Gabe Kapler,TEX,444,59,134,32,1,14,66,8,4,42,57,.302,.360,.473,.833,1.3
34,152,Herbert Perry,CWS/TB,411,71,124,30,1,12,62,4,1,24,75,.302,.350,.467,.818,2.6
35,153,Andres Galarraga,ATL,494,67,149,25,1,28,100,3,5,36,126,.302,.369,.526,.895,1.0
36,154,Ramon Martinez,SF,189,30,57,13,2,6,25,3,2,15,22,.302,.354,.487,.841,1.1
37,155,Brent Mayne,COL,335,36,101,21,0,6,64,1,3,47,48,.301,.381,.418,.799,0.0
38,156,Bill Spiers,HOU,355,41,107,17,3,3,43,7,4,49,38,.301,.386,.392,.777,1.0
39,157,Brook Fordyce,BAL/CWS,302,41,91,18,1,14,49,0,0,17,50,.301,.341,.507,.848,1.8
40,158,Billy McMillon,DET,123,20,37,7,1,4,24,1,0,19,19,.301,.388,.472,.859,0.8
41,159,Carlos Lee,CWS,572,107,172,29,2,24,92,13,4,38,94,.301,.345,.484,.829,2.1
42,160,Orlando Palmeiro,ANA,243,38,73,20,2,0,25,4,1,38,20,.300,.395,.399,.794,2.0
0,161,Carl Everett,BOS,496,82,149,32,4,34,108,11,4,52,113,.300,.373,.587,.959,4.4
1,162,Lance Johnson,NYY,30,6,9,1,0,0,2,2,0,0,7,.300,.300,.333,.633,0.0
2,,John Wehner,PIT,50,10,15,3,0,1,9,0,0,4,6,.300,.352,.420,.772,0.0
3,,Cliff Floyd,FLA,420,75,126,30,0,22,91,24,3,50,82,.300,.378,.529,.906,2.6
4,,Dave Dellucci,ARI,50,2,15,3,0,0,2,0,2,4,9,.300,.352,.360,.712,-0.1
5,,Chad Allen,MIN,50,2,15,3,0,0,7,0,2,3,14,.300,.345,.360,.705,-0.1
6,,Eric Byrnes,OAK,10,5,3,0,0,0,0,2,1,0,1,.300,.364,.300,.664,-0.1
7,,Hiram Bocachica,LA,10,2,3,0,0,0,0,0,0,0,2,.300,.300,.300,.600,0.0
8,169,Bobby Higginson,DET,597,104,179,44,4,30,102,15,3,74,99,.300,.377,.538,.915,5.0
9,170,Fernando Vina,STL,487,81,146,24,6,4,31,10,8,36,36,.300,.380,.398,.779,3.0
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,171,Mitch Meluskey,HOU,337,47,101,21,0,14,69,1,0,55,74,.300,.401,.487,.888,1.7
12,172,Corey Koskie,MIN,474,79,142,32,4,9,65,5,4,77,104,.300,.400,.441,.841,2.6
13,173,John Vander Wal,PIT,384,74,115,29,0,24,94,11,2,72,92,.299,.410,.563,.972,2.9
14,174,Adam Piatt,OAK,157,24,47,5,5,5,23,0,1,23,44,.299,.392,.490,.883,0.7
15,175,Scott Rolen,PHI,483,88,144,32,6,26,89,8,1,51,99,.298,.370,.551,.920,4.4
16,176,Mark Kotsay,FLA,530,87,158,31,5,12,57,19,9,42,46,.298,.347,.443,.791,2.2
17,177,Paul Konerko,CWS,524,84,156,31,1,21,97,1,0,47,72,.298,.363,.481,.844,1.1
18,178,Denny Hocking,MIN,373,52,111,24,4,4,47,7,5,48,77,.298,.373,.416,.789,0.8
19,179,Lance Berkman,HOU,353,76,105,28,1,21,67,6,2,56,73,.297,.388,.561,.949,1.8
20,180,Rusty Greer,TEX,394,65,117,34,3,8,65,4,1,51,61,.297,.377,.459,.837,1.9
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,181,Eduardo Perez,STL,91,9,27,4,0,3,10,1,0,5,19,.297,.350,.440,.790,0.6
23,182,Eric Young,CHC,607,98,180,40,2,6,47,54,7,63,39,.297,.367,.399,.766,3.1
24,183,Rob Ryan,ARI,27,4,8,1,1,0,2,0,0,4,7,.296,.406,.407,.814,0.0
25,184,Delino DeShields,BAL,561,84,166,43,5,10,86,37,10,69,82,.296,.369,.444,.813,2.8
26,185,Jim Edmonds,STL,525,129,155,25,0,42,108,10,3,103,167,.295,.411,.583,.994,6.1
27,186,J.D. Drew,STL,407,73,120,17,2,18,57,17,9,67,99,.295,.401,.479,.880,3.5
28,187,Craig Grebeck,TOR,241,38,71,19,0,3,23,0,0,25,33,.295,.364,.411,.775,0.8
29,,Brad Fullmer,TOR,482,76,142,29,1,32,104,3,1,30,68,.295,.340,.558,.898,1.4
30,189,Rafael Furcal,ATL,455,87,134,20,4,4,37,40,14,73,80,.295,.394,.382,.776,3.8
31,190,Luis Alicea,TEX,540,85,159,25,8,6,63,1,3,59,75,.294,.365,.404,.769,0.8
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,191,Chris Donnels,LA,34,8,10,3,0,4,9,0,0,6,7,.294,.390,.735,1.126,0.3
34,,Randy Knorr,TEX,34,5,10,2,0,2,2,0,0,0,3,.294,.294,.529,.824,0.2
35,,Julio Zuleta,CHC,68,13,20,8,0,3,12,0,1,2,19,.294,.342,.544,.887,0.1
36,194,Mark Quinn,KC,500,76,147,33,2,20,78,5,2,35,91,.294,.342,.488,.830,1.5
37,195,Dante Bichette,BOS/CIN,575,80,169,32,2,23,90,5,2,49,91,.294,.350,.477,.826,0.6
38,196,Glenallen Hill,NYY/CHC,300,45,88,9,1,27,58,0,1,19,76,.293,.336,.600,.936,0.8
39,197,Eric Owens,SD,583,87,171,19,7,6,51,29,14,45,63,.293,.346,.381,.727,1.4
40,198,Enrique Wilson,CLE/PIT,239,27,70,15,1,5,27,2,2,18,24,.293,.340,.427,.767,-0.1
41,199,Keith Osik,PIT,123,11,36,6,1,4,22,3,0,14,11,.293,.387,.455,.843,0.5
42,200,B.J. Surhoff,BAL/ATL,539,69,157,36,2,14,68,10,2,41,58,.291,.344,.443,.787,2.5
0,201,Ruben Mateo,TEX,206,32,60,11,0,7,19,6,0,10,34,.291,.339,.447,.786,1.4
1,202,Jay Payton,NYM,488,63,142,23,1,17,62,5,11,30,60,.291,.331,.447,.778,1.9
2,203,Frank Catalanotto,TEX,282,55,82,13,2,10,42,6,2,33,36,.291,.375,.457,.832,1.0
3,204,Tim Salmon,ANA,568,108,165,36,2,34,97,0,2,104,139,.290,.404,.540,.945,4.1
4,205,Todd Walker,MIN/COL,248,42,72,11,4,9,44,7,1,27,29,.290,.355,.476,.830,0.2
5,206,Adrian Beltre,LA,510,71,148,30,2,20,85,12,5,56,80,.290,.360,.475,.835,3.1
6,207,Felipe Crespo,SF,131,17,38,6,1,4,29,3,2,10,23,.290,.351,.443,.794,0.4
7,208,Adam Eaton,SD,38,6,11,2,0,0,4,2,0,6,10,.289,.400,.342,.742,0.7
8,209,Sandy Alomar Jr.,CLE,356,44,103,16,2,7,42,2,2,16,41,.289,.324,.404,.728,0.4
9,210,Dave Hansen,LA,121,18,35,6,2,8,26,0,1,26,32,.289,.415,.570,.985,1.2
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,211,Izzy Alcantara,BOS,45,9,13,1,0,4,7,0,0,3,7,.289,.333,.578,.911,0.3
12,212,Juan Encarnacion,DET,547,75,158,25,6,14,72,16,4,29,90,.289,.330,.433,.764,1.6
13,213,Benny Agbayani,NYM,350,59,101,19,1,15,60,5,5,54,68,.289,.391,.477,.868,1.9
14,214,Rafael Palmeiro,TEX,565,102,163,29,3,39,120,2,1,103,77,.288,.397,.558,.954,2.6
15,215,Tomas De La Rosa,MON,66,7,19,3,1,2,9,2,1,7,11,.288,.365,.455,.819,0.2
16,216,Terrence Long,OAK,584,104,168,34,4,18,80,5,0,43,77,.288,.336,.452,.788,2.2
17,,Morgan Burkhart,BOS,73,16,21,3,0,4,18,0,0,17,25,.288,.442,.493,.935,0.4
18,218,Neifi Perez,COL,651,92,187,39,11,10,71,3,6,30,63,.287,.314,.427,.741,0.9
19,219,Jorge Posada,NYY,505,92,145,35,1,28,86,2,2,107,151,.287,.417,.527,.943,5.2
20,220,Omar Vizquel,CLE,613,101,176,27,3,7,66,22,10,87,72,.287,.377,.375,.753,2.6
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,221,Javy Lopez,ATL,481,60,138,21,1,24,89,0,0,35,80,.287,.337,.484,.822,2.3
23,222,Aubrey Huff,TB,122,12,35,7,0,4,14,0,0,5,18,.287,.318,.443,.760,0.0
24,223,David Justice,CLE/NYY,524,89,150,31,1,41,118,2,1,77,91,.286,.377,.584,.961,4.8
25,224,Garret Anderson,ANA,647,92,185,40,3,35,117,7,6,24,87,.286,.307,.519,.827,1.5
26,225,Luis Sojo,NYY/PIT,301,33,86,18,1,7,37,2,0,17,22,.286,.325,.422,.747,0.6
27,,Mark Whiten,CLE,7,2,2,1,0,0,1,0,0,3,2,.286,.500,.429,.929,0.1
28,,Scott Karl,ANA/COL,14,3,4,0,0,0,0,0,1,1,5,.286,.375,.286,.661,0.1
29,,Scott Sullivan,CIN,7,0,2,0,0,0,0,0,0,0,2,.286,.286,.286,.571,0.1
30,,Timo Perez,NYM,49,11,14,4,1,1,3,1,1,3,5,.286,.333,.469,.803,0.3
31,,Pedro Feliz,SF,7,1,2,0,0,0,0,0,0,0,1,.286,.286,.286,.571,0.0
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
