,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
0,1,Mike Stanton,NYY,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
1,,Omar Olivares,OAK,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
2,,Mike Mohler,CLE/STL,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
3,,Esteban Yan,TB,1,1,1,0,0,1,1,0,0,0,0,1.000,1.000,4.000,5.000,0.3
4,,Mike Judd,LA,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
5,,Rick Croushore,BOS/COL,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.3
6,,Anthony Sanders,SEA,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
7,,Vicente Padilla,PHI/ARI,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
8,,Hector Ramirez,MIL,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
9,,Eric Cammack,NYM,1,0,1,0,1,0,1,0,0,0,0,1.000,1.000,3.000,4.000,0.1
10,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
11,,Justin Brunette,STL,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
12,,Scott Linebrink,HOU/SF,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
13,,T.J. Tucker,MON,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
14,,Xavier Nady,SD,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
15,15,Jeff Manto,COL,5,2,4,2,0,1,4,0,0,2,0,.800,.857,1.800,2.657,0.4
16,,Brian Lesher,SEA,5,1,4,1,1,0,3,1,0,1,0,.800,.833,1.400,2.233,0.3
17,17,Freddy Garcia,SEA,3,0,2,0,0,0,0,0,0,0,0,.667,.667,.667,1.333,0.2
18,,Phil Norton,CHC,3,1,2,0,0,0,0,0,0,0,0,.667,.667,.667,1.333,0.1
19,19,Jeremy Powell,MON,5,1,3,1,0,0,1,0,0,0,1,.600,.600,.800,1.400,0.2
20,20,Shawn Wooten,ANA,9,2,5,1,0,0,1,0,0,0,0,.556,.556,.667,1.222,0.2
21,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
22,21,Kenny Rogers,TEX,4,0,2,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,0.1
23,,Gil Heredia,OAK,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0.1
24,,Pete Schourek,BOS,4,0,2,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,0.1
25,,Brian Williams,CLE/CHC,2,0,1,1,0,0,1,0,0,0,0,.500,.500,1.000,1.500,0.1
26,,Sean Bergman,MIN,2,0,1,1,0,0,0,0,0,0,1,.500,.500,1.000,1.500,0.1
27,,Ron Mahay,OAK/FLA,4,0,2,1,0,0,0,0,0,0,1,.500,.500,.750,1.250,0.1
28,,Alan Benes,STL,4,0,2,1,0,0,0,0,0,0,1,.500,.500,.750,1.250,0.1
29,,Danny Graves,CIN,2,1,1,0,0,1,1,0,0,1,0,.500,.667,2.000,2.667,0.2
30,,Bobby M. Jones,NYM,2,0,1,0,0,0,0,0,0,1,1,.500,.667,.500,1.167,0.1
31,,John Halama,SEA,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,0.1
32,RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
33,,Justin Speier,CLE,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,0.1
34,,Jose Jimenez,COL,4,0,2,0,0,0,1,0,0,0,2,.500,.500,.500,1.000,0.1
35,,Keith Johnson,ANA,4,2,2,0,0,0,0,0,0,2,0,.500,.667,.500,1.167,0.3
36,,Jason Grilli,FLA,2,0,1,0,0,0,1,0,0,0,0,.500,.500,.500,1.000,0.1
37,,Brian O'Connor,PIT,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,0.1
38,,Joey Nation,CHC,4,0,2,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,0.1
39,37,John McDonald,CLE,9,0,4,0,0,0,0,0,0,0,1,.444,.444,.444,.889,0.2
40,,Damon Minor,SF,9,3,4,0,0,3,6,0,0,2,1,.444,.545,1.444,1.990,0.4
