,HOU,WSH,STL,CLE,CIN,BAL,LAA,CHW,COL,MIN,TB,ARI,TEX,ATL,SD,DET,BOS,NYM,MIL,PHI,KC,NYY,PIT,LAD,CHC,SF,OAK,TOR,FLA,SEA
AVG,0.1776136363636364,0.17587499999999998,0.19595238095238096,0.16086363636363635,0.19500000000000006,0.14636000000000002,0.1521951219512195,0.1441794871794872,0.17934615384615385,0.14690476190476195,0.146972972972973,0.16767346938775513,0.15207142857142858,0.17302499999999996,0.15867441860465117,0.15575675675675676,0.125468085106383,0.15960000000000002,0.1568181818181818,0.15112820512820518,0.1528823529411765,0.10913636363636364,0.14589583333333336,0.14570212765957447,0.14587500000000003,0.17040909090909087,0.11209090909090912,0.11504081632653063,0.16476923076923078,0.1575
OBP,0.23850000000000007,0.21244999999999997,0.23995238095238097,0.19768181818181824,0.2317142857142857,0.17624000000000004,0.18041463414634146,0.19397435897435894,0.21559615384615385,0.1815,0.1907837837837838,0.21153061224489791,0.17511904761904762,0.213575,0.21195348837209305,0.1867567567567568,0.17327659574468085,0.22335555555555556,0.19099999999999995,0.19125641025641024,0.18720588235294122,0.15254545454545454,0.22472916666666662,0.2362765957446809,0.17615,0.27274999999999994,0.1469090909090909,0.14891836734693878,0.21379487179487183,0.19685000000000002
SLG,0.26077272727272727,0.24780000000000002,0.2716666666666666,0.23134090909090912,0.28628571428571437,0.21564,0.21129268292682923,0.22487179487179487,0.268,0.2079285714285715,0.21770270270270276,0.277734693877551,0.24204761904761907,0.245425,0.22616279069767442,0.23329729729729728,0.19934042553191486,0.2303555555555555,0.23177272727272727,0.21651282051282048,0.224,0.17434090909090913,0.20772916666666671,0.2019574468085107,0.21870000000000003,0.2505227272727273,0.16999999999999998,0.18395918367346936,0.23400000000000004,0.24247500000000008
OPS,0.49922727272727274,0.46024999999999994,0.5115714285714285,0.42893181818181814,0.518095238095238,0.39182000000000017,0.3916829268292683,0.4188717948717948,0.48367307692307693,0.3894285714285714,0.40837837837837837,0.48926530612244884,0.41719047619047617,0.459025,0.4381162790697674,0.42005405405405405,0.37263829787234043,0.4537333333333333,0.4227954545454544,0.4077435897435898,0.41117647058823525,0.3268636363636363,0.43245833333333333,0.43819148936170227,0.394875,0.5232272727272729,0.3169090909090909,0.3328571428571429,0.44774358974358974,0.43935000000000013
bWAR,0.3568181818181818,0.3450000000000001,0.5261904761904761,0.36818181818181794,0.5880952380952381,0.3040000000000001,0.5634146341463414,0.21282051282051284,0.2692307692307693,0.02857142857142861,0.9135135135135136,0.4836734693877552,0.754761904761905,0.3924999999999999,0.3116279069767441,0.7486486486486488,0.751063829787234,0.42666666666666664,0.5454545454545454,0.44615384615384596,0.6911764705882353,0.575,0.11041666666666666,0.351063829787234,0.2975,0.35454545454545455,0.215909090909091,0.3734693877551021,0.13589743589743586,0.19249999999999998
