,LA,FLA,BOS,NYY,OAK,CLE,SD,CHC,CIN,SF,PHI,DET,TEX,MIL,STL,MIN,HOU,KC,TB,NYM,BAL,ATL,SEA,TOR,WAS,LAA,CWS,COL,ARI,PIT
WHIP,1.2875999999999999,1.8337037037037036,1.6562962962962966,1.6095833333333334,1.3865384615384617,1.5941379310344828,1.6287500000000001,1.9670833333333333,1.573636363636364,1.4629999999999999,1.4836363636363636,1.5769565217391306,1.5826086956521739,1.7134782608695651,1.4439999999999997,1.6570833333333335,1.620909090909091,1.643478260869565,1.4733333333333336,1.4495833333333332,1.846296296296296,1.6371428571428572,1.4742857142857144,1.593333333333333,1.6709999999999996,1.8216666666666665,1.5912499999999998,1.4236000000000002,1.6733333333333336,1.6823076923076923
ERA,3.6115999999999997,6.176666666666666,4.96074074074074,5.3254166666666665,4.622692307692308,5.364137931034482,5.40125,9.625416666666666,6.222727272727273,4.4195,4.463636363636363,5.10304347826087,6.503913043478261,6.224347826086958,4.692,6.116666666666667,5.741363636363635,5.6960869565217385,4.532857142857143,4.228333333333333,8.115555555555556,5.708095238095238,4.929047619047618,5.4375,6.026666666666667,6.185,5.815416666666667,4.816400000000001,6.827083333333333,6.019615384615384
pWAR,0.7560000000000001,0.5370370370370372,0.8740740740740741,0.8708333333333332,0.6153846153846154,-6.029659530291799e-17,0.04062500000000003,0.8208333333333334,0.32272727272727264,1.1800000000000002,0.4636363636363636,0.6478260869565219,0.8043478260869565,-0.08260869565217385,0.7449999999999999,0.7500000000000001,0.2045454545454547,0.6434782608695649,0.41428571428571415,0.29166666666666663,0.2555555555555554,1.042857142857143,0.4904761904761904,0.3625,-0.00333333333333339,0.08333333333333338,0.9833333333333331,0.7839999999999999,0.3083333333333333,0.003846153846153905
