,SD,LAD,CHC,PHI,SF,COL,ATL,ARI,PIT,DET,NYY,MIA,BAL,CIN,CLE,TB,TOR,LAA,NYM,CHW,KC,SEA,MIN,MIL,HOU,OAK,BOS,STL,TEX,WSH,nan
WHIP,1.4233333333333333,1.2999999999999998,1.5633333333333332,1.4885714285714289,1.3165714285714283,1.7396774193548388,1.6171874999999998,1.4181481481481482,1.5785294117647062,1.5854838709677421,1.5345454545454549,1.3065384615384614,1.7876923076923077,1.3269230769230766,1.299666666666667,1.3163636363636364,1.775897435897436,1.4096874999999995,1.5666666666666664,1.5433333333333334,1.857,1.6495238095238096,1.593225806451613,1.6250000000000002,1.3246153846153847,1.4292857142857147,1.5660714285714286,1.3473913043478258,2.1991666666666663,2.3067741935483874,2.41
ERA,4.77,4.661851851851852,4.583636363636363,4.967714285714285,4.850285714285714,7.059354838709678,5.74625,4.87,5.569117647058823,6.577096774193548,6.358181818181818,4.616153846153846,7.502564102564103,4.434615384615384,4.242666666666667,4.253939393939395,6.710769230769231,4.8125,5.276000000000002,5.20037037037037,7.381333333333333,6.845000000000001,5.991612903225807,6.523666666666667,5.319615384615385,4.5775,6.244642857142857,4.822608695652173,8.555833333333332,12.852580645161291,8.22
pWAR,0.15833333333333333,0.6037037037037037,0.5696969696969696,0.2942857142857145,0.23428571428571426,0.3935483870967743,0.5187499999999999,0.6074074074074074,0.13529411764705873,0.32580645161290334,0.4060606060606062,0.4346153846153846,0.12820512820512825,0.7346153846153848,0.6233333333333334,0.73030303030303,0.27435897435897444,0.15312499999999998,0.7066666666666668,0.4259259259259257,0.17666666666666667,0.1380952380952382,0.5580645161290322,0.37666666666666676,1.173076923076923,0.7214285714285715,0.7464285714285711,0.7086956521739131,0.6027777777777776,0.7580645161290324,-0.2
