,TOR,SEA,OAK,KC,SD,WAS,MIN,MIL,NYM,PHI,FLA,PIT,TEX,CLE,STL,NYY,TB,ATL,LA,SF,CHC,BOS,BAL,COL,CWS,CIN,DET,HOU,LAA,ARI,nan
AVG,0.17007500000000003,0.16951219512195126,0.17095744680851063,0.1605609756097561,0.17227272727272733,0.17251111111111112,0.1981315789473684,0.1922857142857143,0.1640208333333333,0.1795135135135135,0.15514634146341466,0.17802272727272728,0.15152,0.12031914893617024,0.18868421052631582,0.13171739130434784,0.1326666666666667,0.1450416666666667,0.17230952380952383,0.1717272727272728,0.15029268292682924,0.14232558139534884,0.133075,0.1417872340425532,0.15044444444444446,0.15438636363636357,0.13027906976744186,0.15892682926829266,0.13880555555555554,0.16047368421052632,0.156
OBP,0.20989999999999998,0.20363414634146337,0.21048936170212765,0.18197560975609758,0.21758181818181815,0.22951111111111114,0.2310789473684211,0.23357142857142854,0.22239583333333335,0.22802702702702696,0.21631707317073165,0.21531818181818183,0.19046,0.1803617021276596,0.24131578947368426,0.18519565217391304,0.1828888888888889,0.20835416666666665,0.22742857142857142,0.23399999999999996,0.18321951219512198,0.1846046511627907,0.15825,0.19619148936170216,0.181,0.19595454545454546,0.17916279069767443,0.19651219512195128,0.1886111111111111,0.21552631578947368,0.229
SLG,0.237925,0.3024878048780488,0.23500000000000004,0.21746341463414634,0.2424909090909091,0.2366,0.2648421052631578,0.2910952380952381,0.22754166666666667,0.3142972972972973,0.23790243902439023,0.2593181818181818,0.24257999999999996,0.18285106382978725,0.30318421052631583,0.20052173913043478,0.20055555555555557,0.21216666666666664,0.23933333333333345,0.24686363636363637,0.2253658536585366,0.221,0.205575,0.2074255319148936,0.23405555555555557,0.23093181818181818,0.2165813953488372,0.23324390243902446,0.21066666666666667,0.2549473684210526,0.188
OPS,0.44785,0.5060487804878049,0.44536170212765963,0.39929268292682935,0.45998181818181816,0.4660444444444445,0.496,0.5247619047619047,0.449875,0.5423783783783785,0.454170731707317,0.47459090909090906,0.4330399999999999,0.3631702127659574,0.5443947368421052,0.3857608695652175,0.38346666666666657,0.42047916666666657,0.46692857142857164,0.4808636363636365,0.408609756097561,0.4055581395348838,0.3639,0.4036170212765957,0.4150277777777778,0.42697727272727276,0.3957441860465117,0.42973170731707305,0.39922222222222226,0.47050000000000003,0.416
bWAR,0.5225000000000001,0.25365853658536586,0.295744680851064,0.10487804878048784,0.3054545454545453,0.16444444444444442,0.5000000000000001,0.5999999999999999,0.4833333333333332,0.7243243243243245,0.35121951219512204,0.3227272727272727,0.57,0.5489361702127658,0.7605263157894736,0.4978260869565218,0.551111111111111,0.5708333333333333,0.3928571428571428,0.10227272727272729,0.4097560975609755,0.7883720930232555,0.4575,0.2106382978723405,0.4555555555555555,0.11818181818181817,0.36976744186046523,0.35365853658536595,0.533333333333333,0.17894736842105263,-0.5
