,NYM,PIT,CHC,ATL,BOS,CLE,TOR,CIN,DET,TEX,ARI,SF,STL,HOU,COL,LAD,MIA,SD,CHW,BAL,NYY,KC,MIN,WSH,SEA,PHI,MIL,LAA,TB,OAK
AVG,0.18217500000000003,0.1714047619047619,0.171,0.17319999999999997,0.16007843137254904,0.15157142857142855,0.14448,0.15456097560975604,0.154675,0.1390892857142857,0.1678297872340426,0.15009302325581397,0.17065853658536584,0.1162272727272727,0.1582553191489362,0.15383720930232556,0.14993023255813956,0.15686956521739132,0.126725,0.1348333333333333,0.1279636363636364,0.13666666666666666,0.14643181818181816,0.15928205128205128,0.137,0.13274999999999998,0.1335,0.11236734693877551,0.11217948717948716,0.12465909090909091
OBP,0.22989999999999994,0.20795238095238094,0.20704444444444442,0.20905714285714286,0.2031568627450981,0.18945238095238098,0.18055999999999997,0.18782926829268287,0.18065,0.17687499999999998,0.20085106382978724,0.18609302325581392,0.2424390243902439,0.15075000000000005,0.1872765957446809,0.2069069767441861,0.18027906976744193,0.20393478260869563,0.15389999999999998,0.1610952380952381,0.15192727272727274,0.16785714285714284,0.19318181818181818,0.2147948717948718,0.17065000000000002,0.18706818181818183,0.18660526315789477,0.14410204081632655,0.15623076923076926,0.16088636363636366
SLG,0.251375,0.23033333333333342,0.2464888888888889,0.23191428571428568,0.23894117647058824,0.21947619047619052,0.22138000000000002,0.21278048780487804,0.211775,0.19775000000000004,0.24593617021276595,0.21811627906976738,0.2358780487804878,0.17922727272727276,0.24351063829787234,0.22174418604651172,0.20860465116279076,0.23156521739130434,0.191425,0.21199999999999997,0.1837636363636363,0.19757142857142862,0.22449999999999995,0.24010256410256411,0.202725,0.18872727272727277,0.20336842105263164,0.16614285714285718,0.17094871794871797,0.18797727272727272
OPS,0.4812249999999999,0.4382380952380952,0.45353333333333323,0.44094285714285714,0.4421960784313725,0.40880952380952384,0.40192000000000005,0.40070731707317075,0.3924999999999999,0.37458928571428557,0.4468723404255319,0.40416279069767436,0.4785121951219512,0.3299318181818181,0.4307446808510637,0.42862790697674413,0.3889069767441862,0.4355652173913043,0.345275,0.3732380952380953,0.3356363636363638,0.36540476190476184,0.41756818181818184,0.4548461538461537,0.37339999999999995,0.3757045454545454,0.389842105263158,0.31024489795918364,0.3272307692307692,0.3488409090909091
bWAR,0.5099999999999998,0.7190476190476192,0.18888888888888886,0.4400000000000001,0.4039215686274508,0.430952380952381,0.502,0.4536585365853658,0.5699999999999997,0.27678571428571425,0.3510638297872341,0.43720930232558114,0.48048780487804843,0.3818181818181818,0.5042553191489362,0.7581395348837208,0.3767441860465117,0.3804347826086954,0.38,0.788095238095238,0.3872727272727272,0.5095238095238095,0.4068181818181818,0.5333333333333332,0.4924999999999998,0.19318181818181823,0.42894736842105247,0.6020408163265305,0.4923076923076921,0.6613636363636363
