,CHW,SF,MIN,WSH,MIA,BAL,TEX,NYY,DET,SEA,COL,STL,CLE,PIT,SD,HOU,LAD,KC,CHC,NYM,CIN,ARI,BOS,LAA,MIL,OAK,ATL,TOR,PHI,TB
AVG,0.17254347826086958,0.17915909090909088,0.16667441860465115,0.17694871794871797,0.19069565217391304,0.1385909090909091,0.16706976744186042,0.13454545454545455,0.16237837837837837,0.12685106382978725,0.1703658536585366,0.1726111111111111,0.135,0.1390980392156863,0.14030188679245284,0.13958333333333334,0.12954716981132075,0.1506216216216216,0.15090000000000003,0.15935555555555556,0.13573333333333337,0.1452093023255814,0.13669565217391308,0.14287755102040814,0.1307777777777778,0.132547619047619,0.14136538461538464,0.10419565217391302,0.1434883720930233,0.12884444444444446
OBP,0.1990434782608695,0.21472727272727277,0.21260465116279073,0.21512820512820519,0.22191304347826082,0.1796590909090909,0.20239534883720933,0.16897727272727273,0.19916216216216215,0.1653404255319149,0.20519512195121953,0.21677777777777774,0.16695121951219513,0.17466666666666672,0.17956603773584912,0.17586111111111116,0.1660566037735849,0.17962162162162157,0.20567500000000005,0.2049555555555556,0.1898,0.17441860465116277,0.18426086956521742,0.17585714285714285,0.2042,0.1666190476190476,0.1699423076923077,0.14154347826086952,0.18241860465116277,0.16406666666666667
SLG,0.28939130434782606,0.2552727272727273,0.23879069767441863,0.28489743589743594,0.26015217391304346,0.2236818181818182,0.2987441860465116,0.22379545454545455,0.253108108108108,0.19302127659574467,0.26302439024390245,0.26822222222222214,0.21248780487804883,0.19339215686274508,0.21816981132075466,0.2221666666666667,0.19062264150943395,0.21697297297297294,0.227675,0.26264444444444446,0.2101333333333333,0.23895348837209304,0.2071086956521739,0.20134693877551024,0.21659999999999996,0.2024285714285714,0.20534615384615382,0.1675652173913043,0.21269767441860463,0.21173333333333336
OPS,0.48847826086956514,0.4701136363636364,0.45153488372093026,0.5000000000000001,0.4821304347826088,0.40331818181818185,0.5012325581395349,0.3927272727272728,0.45232432432432423,0.3582553191489361,0.4683414634146342,0.4849722222222223,0.3793658536585366,0.3680784313725491,0.3978679245283019,0.3980277777777777,0.35667924528301875,0.39659459459459456,0.4333,0.46755555555555556,0.39988888888888874,0.4131860465116279,0.3913478260869565,0.3771836734693877,0.4207777777777777,0.36900000000000005,0.37525000000000003,0.3090434782608696,0.3950697674418604,0.3759333333333333
bWAR,0.4499999999999999,0.5386363636363637,0.397674418604651,0.5076923076923078,0.4652173913043478,0.44772727272727264,0.5023255813953487,0.34545454545454524,0.5216216216216217,0.5234042553191487,0.5024390243902442,0.6666666666666665,0.5292682926829267,0.33921568627450965,0.14150943396226423,0.8027777777777777,0.5471698113207545,0.3918918918918919,0.8950000000000002,0.3088888888888889,0.29555555555555557,0.42558139534883715,0.8652173913043476,0.5183673469387753,0.3666666666666668,0.261904761904762,0.22692307692307703,0.5434782608695652,0.15813953488372096,0.4555555555555553
