,KC,TOR,SF,HOU,BOS,PIT,LAD,TEX,MIN,FLA,TB,WSH,STL,MIL,OAK,LAA,NYM,CLE,COL,CHW,CIN,BAL,PHI,DET,ATL,NYY,SEA,CHC,SD,ARI
AVG,0.1484666666666667,0.15679069767441864,0.17552380952380955,0.16451111111111108,0.16770588235294123,0.14803846153846154,0.15960416666666663,0.1605531914893617,0.144825,0.1393846153846154,0.14880555555555555,0.15100000000000002,0.18487804878048777,0.17282500000000003,0.13664583333333333,0.13261363636363635,0.17415217391304347,0.15146341463414636,0.18200000000000005,0.15544736842105267,0.17892857142857144,0.12756818181818183,0.155725,0.14521052631578946,0.15147500000000003,0.13579069767441865,0.11271739130434785,0.1565609756097561,0.14923076923076925,0.1424130434782609
OBP,0.1756222222222222,0.1867674418604651,0.21140476190476185,0.2021555555555556,0.21221568627450982,0.2036153846153846,0.261125,0.2012340425531915,0.1769,0.17534615384615382,0.19694444444444442,0.1808695652173913,0.22831707317073172,0.209575,0.1739166666666667,0.1720909090909091,0.2169782608695652,0.1944878048780488,0.2313658536585366,0.19828947368421054,0.21292857142857147,0.15859090909090912,0.19662499999999997,0.18042105263157895,0.24010000000000004,0.1924186046511628,0.14806521739130435,0.20773170731707316,0.1982307692307692,0.18547826086956518
SLG,0.2097111111111111,0.23830232558139536,0.2457142857142857,0.28404444444444454,0.25098039215686274,0.20986538461538462,0.21668750000000003,0.22568085106382976,0.22272499999999998,0.20746153846153853,0.2335833333333333,0.2149782608695652,0.27987804878048783,0.24862499999999996,0.20245833333333332,0.20770454545454545,0.2483695652173913,0.23212195121951218,0.26490243902439026,0.24621052631578946,0.2682142857142858,0.1819090909090909,0.24707500000000002,0.21855263157894741,0.242125,0.2077674418604651,0.16700000000000004,0.22653658536585372,0.21692307692307694,0.20971739130434788
OPS,0.3853333333333333,0.425046511627907,0.457095238095238,0.48619999999999997,0.4632352941176471,0.4134999999999999,0.47783333333333333,0.42687234042553196,0.39965,0.3827500000000001,0.43058333333333326,0.395913043478261,0.5082682926829268,0.4581500000000001,0.3763749999999999,0.3797954545454545,0.4653695652173913,0.42651219512195115,0.49617073170731707,0.44457894736842113,0.4811428571428572,0.3404545454545454,0.4438999999999999,0.3988947368421053,0.48217499999999996,0.40009302325581403,0.3150869565217392,0.4341463414634146,0.41512820512820525,0.3952391304347827
bWAR,0.13777777777777783,0.5395348837209302,0.4976190476190477,0.01777777777777769,0.5666666666666668,-0.04230769230769228,0.11875000000000001,0.3680851063829788,0.5900000000000001,0.2269230769230769,0.9444444444444444,0.22391304347826085,0.5195121951219512,0.6424999999999998,0.41875,0.3409090909090908,0.3304347826086957,0.38292682926829263,0.42926829268292693,0.3921052631578947,0.7238095238095236,0.2113636363636364,0.5275000000000001,0.6736842105263157,0.7125000000000001,0.7976744186046513,0.13043478260869568,0.22926829268292692,0.5820512820512821,0.28478260869565214
