,DET,SF,NYY,FLA,TOR,LA,KC,TEX,PIT,STL,ARI,NYM,PHI,ATL,CLE,CHC,COL,SEA,MIN,CWS,ANA,MON,OAK,BOS,BAL,TB,SD,MIL,HOU,CIN,nan
AVG,0.16552380952380957,0.20591304347826095,0.15808163265306124,0.16902500000000004,0.16433333333333333,0.1774418604651163,0.14416981132075474,0.15728,0.1877045454545455,0.2307142857142857,0.18248837209302324,0.15262500000000004,0.17127777777777775,0.19466666666666668,0.1271698113207547,0.19360975609756095,0.1849000000000001,0.15111428571428573,0.1639047619047619,0.14850000000000002,0.15346341463414637,0.13952380952380952,0.13915384615384616,0.11819148936170214,0.15316666666666667,0.12802083333333336,0.17123999999999995,0.14816666666666664,0.1429318181818182,0.14613207547169813,0.0
OBP,0.20178571428571418,0.23806521739130432,0.19457142857142856,0.2343,0.19299999999999998,0.23702325581395353,0.1889056603773585,0.22760000000000002,0.23949999999999994,0.26759523809523805,0.22211627906976744,0.19927083333333337,0.21913888888888888,0.22969696969696968,0.18550943396226416,0.25065853658536585,0.23298000000000002,0.18682857142857145,0.204595238095238,0.18834210526315795,0.188390243902439,0.16914285714285715,0.18205128205128207,0.1670212765957447,0.19016666666666668,0.18956249999999994,0.22002,0.18547619047619043,0.1945681818181818,0.18279245283018866,0.167
SLG,0.22714285714285712,0.29163043478260875,0.23218367346938773,0.25170000000000003,0.2805641025641026,0.25918604651162785,0.19771698113207542,0.22270000000000004,0.2659090909090909,0.3401190476190476,0.2809069767441861,0.2126458333333333,0.25347222222222215,0.31563636363636366,0.19250943396226414,0.2806341463414634,0.28486,0.20900000000000005,0.24233333333333332,0.22634210526315793,0.2224146341463415,0.20135714285714285,0.21541025641025635,0.1835106382978723,0.22940476190476186,0.1914583333333333,0.24553999999999995,0.22583333333333336,0.2472045454545455,0.20669811320754716,0.0
OPS,0.4288571428571429,0.5297173913043478,0.42685714285714293,0.4860249999999999,0.47346153846153843,0.4962093023255814,0.3866415094339623,0.4502999999999999,0.5054318181818181,0.607761904761905,0.503,0.41189583333333335,0.4725833333333333,0.5453333333333333,0.37807547169811323,0.531219512195122,0.5178200000000001,0.3957714285714286,0.44699999999999995,0.4147105263157896,0.4108048780487806,0.3703095238095238,0.3974615384615385,0.3505531914893617,0.41961904761904767,0.3809791666666667,0.46565999999999996,0.4112857142857143,0.4417954545454545,0.3893773584905661,0.167
bWAR,0.042857142857142844,0.45652173913043487,0.6306122448979591,0.41000000000000014,0.6307692307692307,0.25813953488372093,0.26037735849056604,0.46199999999999974,0.41590909090909106,0.664285714285714,0.15348837209302324,0.029166666666666608,0.7027777777777776,1.0545454545454542,0.2924528301886793,0.22926829268292676,0.32599999999999996,0.7028571428571428,0.5166666666666666,0.6157894736842104,0.4024390243902438,0.12619047619047616,0.5384615384615383,0.6808510638297872,0.39761904761904754,0.31249999999999994,0.39400000000000013,0.16428571428571423,0.6295454545454541,0.2547169811320754,0.0
