,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
14,54,Jose Valverde,ARI,61,0,66.1,51,19,18,20,75,3,4,15,2,2.0,1.07,2.44
15,55,Rafael Soriano,SEA,7,0,7.1,6,2,2,1,9,0,0,0,0,0.2,0.95,2.45
16,,Juan Rincon,MIN,75,0,77.0,63,26,21,30,84,6,6,0,5,1.9,1.21,2.45
17,57,Bob Howry,CLE,79,0,73.0,49,23,20,16,48,7,4,3,2,1.5,0.89,2.47
18,58,Bob Wickman,CLE,64,0,62.0,57,17,17,21,41,0,4,45,5,1.8,1.26,2.47
19,59,Rich Harden,OAK,22,19,128.0,93,42,36,43,121,10,5,0,0,3.6,1.06,2.53
20,60,Jorge Sosa,ATL,44,20,134.0,122,42,38,64,85,13,3,0,0,3.4,1.39,2.55
21,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
22,61,Scott Munter,SF,45,0,38.2,40,15,11,12,11,2,0,0,3,0.7,1.34,2.56
23,62,Justin Speier,TOR,65,0,66.2,48,20,19,15,56,3,2,0,4,1.5,0.95,2.57
24,63,Tom Gordon,NYY,79,0,80.2,59,25,23,29,69,5,4,2,7,2.9,1.09,2.57
25,64,Matt Perisho,BOS/FLA,25,0,14.0,13,5,4,11,10,2,0,0,0,0.5,1.71,2.57
26,65,Roberto Hernandez,NYM,67,0,69.2,57,20,20,28,61,8,6,4,6,2.1,1.22,2.58
27,66,Jae Seo,NYM,14,14,90.1,84,26,26,16,59,8,2,0,0,3.0,1.11,2.59
28,67,Dontrelle Willis,FLA,34,34,236.1,213,79,69,55,170,22,10,0,0,7.0,1.13,2.63
29,68,Scott Eyre,SF,86,0,68.1,48,21,20,26,65,2,2,0,2,2.2,1.08,2.63
30,69,Jonathan Papelbon,BOS,17,3,34.0,33,11,10,17,34,3,1,0,1,1.0,1.47,2.65
31,70,Mike Gallo,HOU,36,0,20.1,18,6,6,10,12,0,1,0,2,0.5,1.38,2.66
32,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
33,,Chris Ray,BAL,41,0,40.2,34,15,12,18,43,1,3,0,4,0.9,1.28,2.66
34,72,Luis Ayala,WAS,68,0,71.0,75,23,21,14,40,8,7,1,2,1.7,1.25,2.66
35,73,Felix Hernandez,SEA,12,12,84.1,61,26,25,23,77,4,4,0,0,2.6,1.00,2.67
36,74,Francisco Rodriguez,LAA,66,0,67.1,45,20,20,32,91,2,5,45,5,2.2,1.14,2.67
37,75,Rudy Seanez,SD,57,0,60.1,49,19,18,22,84,7,1,0,2,1.1,1.18,2.69
