,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
27,226,David Weathers,CIN,73,0,77.2,71,36,34,29,61,7,4,15,4,0.8,1.29,3.94
28,227,Braden Looper,NYM,60,0,59.1,65,31,26,22,27,4,7,28,8,-0.1,1.47,3.94
29,,Jeremy Accardo,SF,28,0,29.2,26,13,13,9,16,1,5,0,1,0.4,1.18,3.94
30,,Franquelis Osoria,LA,24,0,29.2,28,14,13,8,15,0,2,0,2,0.1,1.21,3.94
31,230,Ambiorix Burgos,KC,59,0,63.1,60,29,28,31,65,3,5,2,4,1.2,1.44,3.98
32,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
33,231,Livan Hernandez,WAS,35,35,246.1,268,116,109,84,147,15,10,0,0,2.7,1.43,3.98
34,232,Scott Olsen,FLA,5,4,20.1,21,13,9,10,21,1,1,0,0,-0.1,1.52,3.98
35,233,Chris Capuano,MIL,35,35,219.0,212,105,97,91,176,18,12,0,0,2.8,1.38,3.99
36,234,Erik Bedard,BAL,24,24,141.2,139,66,63,57,125,6,8,0,0,2.1,1.38,4.00
37,235,Chien-Ming Wang,NYY,18,17,116.1,113,58,52,32,47,8,5,0,0,2.2,1.25,4.02
38,236,Nate Bump,FLA,31,0,38.0,43,18,17,12,18,0,3,0,1,0.3,1.45,4.03
39,237,CC Sabathia,CLE,31,31,196.2,185,92,88,62,161,15,10,0,0,1.6,1.26,4.03
40,238,Brandon McCarthy,CWS,12,10,67.0,62,30,30,17,48,3,2,0,0,1.0,1.18,4.03
41,239,Jason Vargas,FLA,17,13,73.2,71,34,33,31,59,5,5,0,0,1.1,1.38,4.03
42,240,Brad Radke,MIN,31,31,200.2,214,98,90,23,117,9,12,0,0,2.6,1.18,4.04
0,241,Scott Sauerbeck,CLE,58,0,35.2,35,18,16,16,35,1,0,0,2,0.0,1.43,4.04
1,242,Tomo Ohka,MIL/WAS,32,29,180.1,189,88,81,55,98,11,9,0,0,0.8,1.35,4.04
2,243,Tim Byrdak,BAL,41,0,26.2,27,14,12,21,31,0,1,1,0,0.1,1.80,4.05
3,244,Jeff Fassero,SF,48,6,91.0,92,48,41,31,60,4,7,0,2,0.4,1.35,4.05
4,245,Trever Miller,TB,61,0,44.1,45,23,20,29,35,2,2,0,3,0.5,1.67,4.06
5,246,Tim Worrell,PHI/ARI,51,0,48.2,59,30,22,12,39,1,2,1,3,-0.7,1.46,4.07
6,247,Ron Villone,SEA/FLA,79,0,64.0,57,34,29,35,70,5,5,1,8,1.0,1.44,4.08
7,248,Miguel Batista,TOR,71,0,74.2,80,39,34,27,54,5,8,31,8,-0.1,1.43,4.10
8,249,David Cortes,COL,50,0,52.2,50,24,24,10,36,2,0,2,1,0.7,1.14,4.10
9,250,Matt Morris,STL,31,31,192.2,209,101,88,37,117,14,10,0,0,0.5,1.28,4.11
10,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
11,251,Kris Benson,NYM,28,28,174.1,171,86,80,49,95,10,8,0,0,1.7,1.26,4.13
12,252,Jason Marquis,STL,33,32,207.0,206,110,95,69,100,13,14,0,0,0.5,1.33,4.13
13,253,Steve Trachsel,NYM,6,6,37.0,37,20,17,12,24,1,4,0,0,0.2,1.32,4.14
14,254,Ryan Madson,PHI,78,0,87.0,84,44,40,25,79,6,5,0,7,-0.4,1.25,4.14
15,255,Tim Wakefield,BOS,33,33,225.1,210,113,104,68,151,16,12,0,0,4.2,1.23,4.15
16,,John Foster,ATL,62,0,34.2,27,17,16,19,32,4,2,1,1,0.2,1.33,4.15
17,257,Victor Zambrano,NYM,31,27,166.1,170,85,77,77,112,7,12,0,0,1.5,1.48,4.17
18,258,Kirk Saarloos,OAK,29,27,159.2,170,75,74,54,53,10,9,0,0,2.1,1.40,4.17
19,259,Kyle Lohse,MIN,31,30,178.2,211,85,83,44,86,9,13,0,0,2.3,1.43,4.18
20,260,Shigetoshi Hasegawa,SEA,46,0,66.2,66,31,31,16,30,1,3,0,1,0.5,1.23,4.19
21,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
22,261,Jeff Harris,SEA,11,8,53.2,48,27,25,20,25,2,5,0,0,0.7,1.27,4.19
23,262,Jon Lieber,PHI,35,35,218.1,223,107,102,41,149,17,13,0,0,1.1,1.21,4.20
24,263,Brandon Claussen,CIN,29,29,166.2,178,89,78,57,121,10,11,0,0,1.6,1.41,4.21
25,264,Amaury Telemaco,PHI,7,0,10.2,5,5,5,4,8,0,1,0,0,0.0,0.84,4.22
26,,Jeff Weaver,LA,34,34,224.0,220,111,105,43,157,14,11,0,0,1.6,1.17,4.22
27,266,Juan Dominguez,TEX,22,10,70.1,78,37,33,25,45,4,6,0,1,1.0,1.46,4.22
28,267,Kerry Wood,CHC,21,10,66.0,52,32,31,26,77,3,4,0,0,0.9,1.18,4.23
29,268,Tyler Walker,SF,67,0,61.2,68,31,29,27,54,6,4,23,5,0.3,1.54,4.23
30,269,Greg Maddux,CHC,35,35,225.0,239,112,106,36,136,13,15,0,0,2.6,1.22,4.24
31,270,Jerome Williams,CHC/SF,22,20,122.2,119,62,58,49,70,6,10,0,0,-0.2,1.37,4.26
32,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
33,271,Chris Young,TEX,31,31,164.2,162,84,78,45,137,12,7,0,0,2.7,1.26,4.26
34,272,Adam Eaton,SD,24,22,128.2,140,70,61,44,100,11,5,0,0,0.3,1.43,4.27
35,273,Terry Mulholland,MIN,49,0,59.0,61,30,28,17,18,0,2,0,1,0.2,1.32,4.27
36,274,Jamie Moyer,SEA,32,32,200.0,225,99,95,52,102,13,7,0,0,2.2,1.39,4.28
37,275,Steve Kline,BAL,67,0,61.0,59,34,29,30,36,2,4,0,3,0.1,1.46,4.28
38,276,John Wasdin,TEX,31,6,75.2,77,37,36,20,44,3,2,4,2,1.1,1.28,4.28
39,277,Scott Downs,TOR,26,13,94.0,93,49,45,34,75,4,3,0,0,0.8,1.35,4.31
40,278,Ricardo Rincon,OAK,67,0,37.1,34,19,18,20,27,1,1,0,2,0.3,1.45,4.34
41,279,Randy Wolf,PHI,13,13,80.0,87,40,39,26,61,6,4,0,0,0.3,1.41,4.39
42,280,Jason Schmidt,SF,29,29,172.0,160,90,84,85,165,12,7,0,0,1.6,1.42,4.40
0,281,Mike Mussina,NYY,30,30,179.2,199,93,88,47,142,13,8,0,0,3.2,1.37,4.41
1,282,Matt Belisle,CIN,60,5,85.2,101,49,42,26,59,4,8,1,3,0.0,1.48,4.41
2,283,Dave Williams,PIT,25,25,138.2,137,74,68,58,88,10,11,0,0,0.9,1.41,4.41
3,284,Javier Vazquez,ARI,33,33,215.2,223,112,106,46,192,11,15,0,0,1.8,1.25,4.42
4,285,Ryan Vogelsong,PIT,44,0,81.1,82,43,40,40,52,2,2,0,1,0.1,1.50,4.43
5,286,Roberto Novoa,CHC,49,0,44.2,47,22,22,25,47,4,5,0,5,0.3,1.61,4.43
6,287,David Wells,BOS,30,30,184.0,220,95,91,21,107,15,7,0,0,3.0,1.31,4.45
7,288,Mike Gosling,ARI,13,5,32.1,40,20,16,19,14,0,3,0,0,0.0,1.82,4.45
8,289,Mike Wood,KC,47,10,115.0,129,66,57,52,60,5,8,2,0,1.2,1.57,4.46
9,290,Jorge De La Rosa,MIL,38,0,42.1,48,23,21,38,42,2,2,0,2,0.0,2.03,4.46
10,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
11,291,Joe Borowski,CHC/TB,43,0,46.1,38,23,23,12,27,1,5,0,4,0.6,1.08,4.47
12,292,John Thomson,ATL,17,17,98.2,111,52,49,28,61,4,6,0,0,0.3,1.41,4.47
13,293,Mike DeJean,NYM/COL,66,0,62.1,62,33,31,30,52,5,4,0,3,-0.4,1.48,4.48
14,294,Brett Tomko,SF,33,30,190.2,205,99,95,57,114,8,15,1,0,1.6,1.37,4.48
15,295,Nate Robertson,DET,32,32,196.2,202,113,98,65,122,7,16,0,0,0.5,1.36,4.48
16,296,Jake Westbrook,CLE,34,34,210.2,218,121,105,56,119,15,15,0,0,-0.4,1.30,4.49
17,297,Dave Bush,TOR,25,24,136.1,142,73,68,29,75,5,11,0,0,0.9,1.25,4.49
18,298,Armando Benitez,SF,30,0,30.0,25,17,15,16,23,2,3,19,4,-0.1,1.37,4.50
19,,Julio Santana,MIL,41,0,42.0,34,21,21,19,49,3,5,1,3,0.1,1.26,4.50
20,,Masao Kida,SEA,1,0,2.0,2,1,1,0,0,0,0,0,0,0.0,1.00,4.50
21,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
22,,Matt Childers,ATL,3,0,4.0,5,2,2,3,2,0,0,0,0,0.0,2.00,4.50
23,,Colter Bean,NYY,1,0,2.0,1,1,1,2,2,0,0,0,0,0.0,1.50,4.50
24,,Keiichi Yabu,OAK,40,0,58.0,64,34,29,26,44,4,0,1,1,-0.1,1.55,4.50
25,,Todd Coffey,CIN,57,0,58.0,84,33,29,11,26,4,1,1,1,0.0,1.64,4.50
26,,Matt Capps,PIT,4,0,4.0,5,2,2,0,3,0,0,0,0,0.0,1.25,4.50
27,306,Bronson Arroyo,BOS,35,32,205.1,213,116,103,54,100,14,10,0,0,2.3,1.30,4.51
28,307,Daniel Cabrera,BAL,29,29,161.1,144,92,81,87,157,10,13,0,0,0.9,1.43,4.52
29,308,Glendon Rusch,CHC,46,19,145.1,175,79,73,53,111,9,8,0,1,0.8,1.57,4.52
30,309,Ricky Bottalico,MIL,40,0,41.2,43,24,21,19,29,2,2,2,4,-0.2,1.49,4.54
31,310,Jason Johnson,DET,33,33,210.0,233,117,106,49,93,8,13,0,0,0.3,1.34,4.54
32,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
33,311,Brian Moehler,FLA,37,25,158.1,198,82,80,42,95,6,12,0,0,1.4,1.52,4.55
34,312,Jake Woods,LAA,28,0,27.2,30,18,14,8,20,1,1,0,0,-0.2,1.37,4.55
35,313,Odalis Perez,LA,19,19,108.2,109,59,55,28,74,7,8,0,0,0.5,1.26,4.56
36,314,Kelly Wunsch,LA,45,0,23.2,20,12,12,14,22,1,1,0,1,0.1,1.44,4.56
37,315,Jesus Colome,TB,36,0,45.1,54,29,23,18,28,2,3,0,1,-0.2,1.59,4.57
38,316,Matt Clement,BOS,32,32,191.0,192,102,97,68,146,13,6,0,0,2.9,1.36,4.57
39,317,Jeremy Bonderman,DET,29,29,189.0,199,101,96,57,145,14,13,0,0,1.1,1.35,4.57
40,318,Victor Santos,MIL,29,24,141.2,153,87,72,60,89,4,13,0,0,-0.2,1.50,4.57
41,319,Brian Meadows,PIT,65,0,74.2,84,42,38,21,44,3,1,0,2,-0.2,1.41,4.58
42,320,Nick Regilio,TEX,18,0,17.2,22,10,9,7,14,1,2,0,2,0.1,1.64,4.58
0,321,Esteban Yan,LAA,49,0,66.2,66,36,34,30,45,1,1,0,0,0.0,1.44,4.59
1,,Jason Standridge,TEX/CIN,34,0,33.1,45,17,17,17,19,2,2,0,0,-0.1,1.86,4.59
2,323,Scott Elarton,CLE,31,31,181.2,189,100,93,48,103,11,9,0,0,0.1,1.30,4.61
3,324,Brad Halsey,ARI,28,26,160.0,191,101,82,39,82,8,12,0,0,-0.3,1.44,4.61
4,325,Horacio Ramirez,ATL,33,32,202.1,214,108,104,67,80,11,9,0,0,0.2,1.39,4.63
5,326,Tommy Phelps,MIL,29,0,23.1,25,12,12,12,14,0,2,1,1,0.0,1.59,4.63
6,,Kevin Correia,SF,16,11,58.1,61,31,30,31,44,2,5,0,0,0.6,1.58,4.63
7,,Jonah Bayliss,KC,11,0,11.2,7,6,6,4,10,0,0,0,0,0.1,0.94,4.63
8,329,Brad Hennessey,SF,21,21,118.1,127,63,61,52,64,5,8,0,0,0.9,1.51,4.64
9,330,Mike Stanton,BOS/NYY/WAS,59,0,42.2,49,24,22,15,27,3,3,0,1,0.2,1.50,4.64
10,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
11,331,Ervin Santana,LAA,23,23,133.2,139,73,69,47,99,12,8,0,0,0.6,1.39,4.65
12,332,Jason Davis,CLE,11,4,40.1,44,22,21,20,32,4,2,0,0,0.0,1.59,4.69
13,333,Pedro Astacio,TEX/SD,24,22,126.2,133,66,66,37,78,6,10,0,0,0.2,1.34,4.69
14,334,Guillermo Mota,FLA,56,0,67.0,65,38,35,32,60,2,2,2,2,-0.2,1.45,4.70
15,335,Vicente Padilla,PHI,27,27,147.0,146,79,77,74,103,9,12,0,0,0.1,1.50,4.71
16,336,Russ Springer,HOU,62,0,59.0,49,34,31,21,54,4,4,0,3,-0.4,1.19,4.73
17,337,Tanyon Sturtze,NYY,64,1,78.0,76,43,41,27,45,5,3,1,5,0.6,1.32,4.73
18,338,Mike Maroth,DET,34,34,209.0,235,123,110,51,115,14,14,0,0,-0.2,1.37,4.74
19,339,Brandon Backe,HOU,26,25,149.1,151,82,79,67,97,10,8,0,0,0.2,1.46,4.76
20,340,Jose Mesa,PIT,55,0,56.2,61,30,30,26,37,2,8,27,7,-0.2,1.54,4.76
21,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
22,,Chad Harville,BOS/HOU,45,0,45.1,43,26,24,27,36,0,3,0,1,-0.1,1.54,4.76
23,342,Carl Pavano,NYY,17,17,100.0,129,66,53,18,56,4,6,0,0,0.3,1.47,4.77
24,343,D.J. Carrasco,KC,21,20,114.2,129,67,61,51,49,6,8,0,0,1.5,1.57,4.79
25,344,Shawn Estes,ARI,21,21,123.2,132,70,66,45,63,7,8,0,0,0.8,1.43,4.80
26,345,Buddy Groom,NYY/ARI,47,0,41.0,51,22,22,12,20,1,1,1,0,0.2,1.54,4.83
27,346,Brian Lawrence,SD,33,33,195.2,211,106,105,57,109,7,15,0,0,0.6,1.37,4.83
28,347,John Grabow,PIT,63,0,52.0,46,31,28,25,42,2,3,0,1,-0.4,1.37,4.85
29,348,Woody Williams,SD,28,28,159.2,174,92,86,51,106,9,12,0,0,-0.4,1.41,4.85
30,349,Byung-Hyun Kim,COL,40,22,148.0,156,82,80,71,115,5,12,0,2,1.4,1.53,4.86
31,350,Lance Carter,TB,39,0,57.0,61,31,31,15,22,1,2,1,3,0.2,1.33,4.89
32,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
33,351,Mark Redman,PIT,30,30,178.1,188,100,97,56,101,5,15,0,0,0.4,1.37,4.90
34,352,Sun-Woo Kim,WAS/COL,24,10,82.2,97,46,45,21,55,6,3,0,0,-0.4,1.43,4.90
35,353,Rodrigo Lopez,BAL,35,35,209.1,232,126,114,63,118,15,12,0,0,0.5,1.41,4.90
36,354,Lee Gardner,TB,5,0,7.1,12,9,4,2,4,0,0,0,0,-0.3,1.91,4.91
37,355,Casey Fossum,TB,36,25,162.2,170,100,89,60,128,8,12,0,1,0.4,1.41,4.92
38,356,Kyle Davies,ATL,21,14,87.2,98,51,48,49,62,7,6,0,1,-0.3,1.68,4.93
39,357,Mike Burns,HOU,27,0,31.0,29,18,17,8,20,0,0,0,0,-0.1,1.19,4.94
40,358,Antonio Alfonseca,FLA,33,0,27.1,29,15,15,14,16,1,1,0,2,-0.1,1.57,4.94
41,359,Wade Miller,BOS,16,16,91.0,96,53,50,47,64,4,4,0,0,0.8,1.57,4.95
42,360,Tony Armas,WAS,19,19,101.1,100,57,56,54,59,7,7,0,0,0.4,1.52,4.97
0,361,Felix Rodriguez,NYY,34,0,32.1,33,18,18,20,18,0,0,0,0,0.3,1.64,5.01
1,362,Steve Schmoll,LA,48,0,46.2,47,29,26,22,29,2,2,3,1,-0.6,1.48,5.01
2,363,Jason Jennings,COL,20,20,122.0,130,73,68,62,75,6,9,0,0,0.9,1.57,5.02
3,364,Kevin Gregg,LAA,33,2,64.1,70,37,36,29,52,1,2,0,1,-0.2,1.54,5.04
4,365,Josh Fogg,PIT,34,28,169.1,196,106,95,53,85,6,11,0,0,-0.8,1.47,5.05
5,366,Royce Ring,NYM,15,0,10.2,10,6,6,10,8,0,2,0,0,0.0,1.88,5.06
6,,Steve Stemle,KC,6,0,10.2,10,6,6,4,9,0,0,0,0,0.1,1.31,5.06
7,368,Mike Koplove,ARI,44,0,49.2,48,31,28,20,28,2,1,0,2,-0.4,1.37,5.07
8,369,Gil Meche,SEA,29,26,143.1,153,92,81,72,83,10,8,0,0,-0.4,1.57,5.09
9,370,Kip Wells,PIT,33,33,182.0,186,116,103,99,132,8,18,0,0,-0.7,1.57,5.09
10,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
11,371,Marcos Carvajal,COL,39,0,53.0,52,30,30,21,47,0,2,0,1,0.2,1.38,5.09
12,372,Ryan Franklin,SEA,32,30,190.2,212,110,108,62,93,8,15,0,0,0.7,1.44,5.10
13,373,Lance Cormier,ARI,67,0,79.1,86,50,45,43,63,7,3,0,1,-0.8,1.63,5.11
14,374,Orlando Hernandez,CWS,24,22,128.1,137,77,73,50,91,9,9,1,0,0.2,1.46,5.12
15,375,Jason Christiansen,LAA/SF,68,0,45.2,55,28,26,17,21,6,1,0,2,-0.4,1.58,5.12
16,376,Kazuhisa Ishii,NYM,19,16,91.0,87,59,52,49,53,3,9,0,0,-0.3,1.49,5.14
17,,Ian Snell,PIT,15,5,42.0,43,25,24,24,34,1,2,0,0,-0.2,1.60,5.14
18,378,Dennys Reyes,SD,36,1,43.2,57,30,25,32,35,3,2,0,1,-0.6,2.04,5.15
19,379,D.J. Houlton,LA,35,19,129.0,145,79,74,52,90,6,9,0,0,-0.8,1.53,5.16
20,380,Shingo Takatsu,CWS/NYM,40,0,36.1,41,21,21,19,38,2,2,8,3,0.3,1.65,5.20
21,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
22,381,Matt Thornton,SEA,55,0,57.0,54,33,33,42,57,0,4,0,1,-0.1,1.68,5.21
23,,George Sherrill,SEA,29,0,19.0,13,12,11,7,24,4,3,0,0,-0.2,1.05,5.21
24,383,Jesse Foppert,SF,3,2,10.1,11,7,6,13,6,0,0,0,0,-0.1,2.32,5.23
25,384,Brian Shouse,TEX,64,0,53.1,55,37,31,18,35,3,2,0,3,-0.4,1.37,5.23
26,385,Claudio Vargas,WAS/ARI,25,23,132.1,146,81,77,47,95,9,9,0,0,-0.6,1.46,5.24
27,386,Jeremy Affeldt,KC,49,0,49.2,56,35,29,29,39,0,2,0,0,-0.3,1.71,5.26
28,387,Wes Obermueller,MIL,23,8,65.0,74,41,38,36,33,1,4,0,0,-0.3,1.69,5.26
29,388,Oscar Villarreal,ARI,11,0,13.2,11,8,8,6,5,2,0,0,2,-0.1,1.24,5.27
30,389,Yhency Brazoban,LA,74,0,72.2,70,46,43,32,61,4,10,21,6,-1.3,1.40,5.33
31,390,Ismael Valdez,FLA,14,7,50.2,64,32,30,22,27,2,2,0,0,-0.1,1.70,5.33
32,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
33,391,Tim Stauffer,SD,15,14,81.0,92,50,48,29,49,3,6,0,0,-0.4,1.49,5.33
34,392,Paul Quantrill,NYY/SD/FLA,50,0,69.0,93,44,41,14,36,2,2,0,1,0.3,1.55,5.35
35,393,Randy Messenger,FLA,29,0,37.0,39,22,22,30,29,0,0,0,0,0.0,1.86,5.35
36,394,Ramon Ortiz,CIN,30,30,171.1,206,110,102,51,96,9,11,0,0,-0.2,1.50,5.36
37,395,Jim Brower,ATL/SF,69,0,60.1,73,36,36,32,53,3,3,1,2,-0.6,1.74,5.37
38,,Sergio Mitre,CHC,21,7,60.1,62,37,36,23,37,2,5,0,0,0.0,1.41,5.37
39,397,Jason Karnuth,DET,3,0,1.2,2,1,1,0,0,0,0,0,0,0.0,1.20,5.40
40,,Andrew Good,DET,2,0,5.0,4,3,3,1,7,0,0,0,0,0.0,1.00,5.40
41,,Jason Bulger,ARI,9,0,10.0,14,6,6,5,9,1,0,0,0,0.0,1.90,5.40
42,400,Jamey Wright,COL,34,27,171.1,201,119,104,81,101,8,16,0,0,-0.5,1.65,5.46
0,401,Cliff Bartosh,CHC,19,0,19.2,23,13,12,11,15,0,2,0,0,-0.1,1.73,5.49
1,402,Kevin Gryboski,TEX/ATL,42,0,31.0,41,25,19,20,10,1,1,0,2,-1.0,1.97,5.52
2,403,Doug Brocail,TEX,61,0,73.1,90,48,45,34,61,5,3,1,3,-0.3,1.69,5.52
3,,Eric DuBose,BAL,15,3,29.1,28,21,18,19,17,2,3,0,0,-0.4,1.60,5.52
4,,Dustin Nippert,ARI,3,3,14.2,10,9,9,13,11,1,0,0,0,0.0,1.57,5.52
5,406,Runelvys Hernandez,KC,29,29,159.2,172,101,98,70,88,8,14,0,0,1.2,1.52,5.52
6,407,Wandy Rodriguez,HOU,25,22,128.2,135,82,79,53,80,10,10,0,0,-0.9,1.46,5.53
7,408,Travis Hughes,WAS,14,0,13.0,18,8,8,8,8,1,1,0,1,-0.1,2.00,5.54
8,409,Ted Lilly,TOR,25,25,126.1,135,79,78,58,96,10,11,0,0,0.1,1.53,5.56
9,410,Sean Douglass,DET,18,16,87.1,92,57,54,33,55,5,5,0,0,-0.5,1.43,5.56
10,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
11,411,Gary Glover,MIL,15,11,64.2,74,41,40,20,58,5,4,0,0,-0.3,1.45,5.57
12,412,Roman Colon,DET/ATL,35,7,69.1,82,45,43,21,47,2,6,0,1,-0.3,1.49,5.58
13,413,Travis Bowyer,MIN,8,0,9.2,10,6,6,3,12,0,1,0,1,0.0,1.34,5.59
14,414,Heath Bell,NYM,42,0,46.2,56,30,29,13,43,1,3,0,0,-0.4,1.48,5.59
15,415,Doug Waechter,TB,29,25,157.0,191,109,98,38,87,5,12,0,0,-0.7,1.46,5.62
16,416,Joel Pineiro,SEA,30,30,189.0,224,118,118,56,107,7,11,0,0,-0.1,1.48,5.62
17,417,Wilson Alvarez,LA,21,2,24.0,31,15,15,7,16,1,4,0,0,-0.2,1.58,5.63
18,,Anthony Lerew,ATL,7,0,8.0,9,5,5,5,5,0,0,0,1,-0.1,1.75,5.63
19,419,Scott Williamson,CHC,17,0,14.1,15,9,9,6,23,0,0,0,0,-0.1,1.47,5.65
20,420,Joe Mays,MIN,31,26,156.0,203,109,98,41,59,6,10,0,0,-1.1,1.56,5.65
21,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
22,421,Aaron Sele,SEA,21,21,116.0,147,76,73,41,53,6,12,0,0,-0.4,1.62,5.66
23,422,Ezequiel Astacio,HOU,22,14,81.0,100,56,51,25,66,3,6,0,0,-1.0,1.54,5.67
24,423,John Halama,BOS/WAS,40,4,65.0,79,44,41,17,37,1,4,0,0,0.1,1.48,5.68
25,424,Jeff Francis,COL,33,33,183.2,228,119,116,70,128,14,12,0,0,0.1,1.62,5.68
26,425,Curt Schilling,BOS,32,11,93.1,121,59,59,22,87,8,8,9,2,0.3,1.53,5.69
27,426,Jimmy Gobble,KC,28,4,53.2,64,34,34,30,38,1,1,0,0,0.1,1.75,5.70
28,427,Francisco Liriano,MIN,6,4,23.2,19,15,15,7,33,1,2,0,0,-0.1,1.10,5.70
29,428,Jason Grimsley,BAL,22,0,22.0,24,15,14,9,10,1,2,0,3,-0.2,1.50,5.73
30,429,Chan Ho Park,TEX/SD,30,29,155.1,180,103,99,80,113,12,8,0,0,0.6,1.67,5.74
31,430,Troy Percival,DET,26,0,25.0,19,16,16,11,20,1,3,8,3,-0.5,1.20,5.76
32,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
33,431,Ryan Drese,TEX/WAS,23,23,129.1,162,90,83,46,46,7,12,0,0,-0.3,1.61,5.78
34,432,Macay McBride,ATL,23,0,14.0,18,11,9,7,22,1,0,1,0,-0.5,1.79,5.79
35,433,Zack Greinke,KC,33,33,183.0,233,125,118,53,114,5,17,0,0,0.8,1.56,5.80
36,434,Denny Bautista,KC,7,7,35.2,36,23,23,17,23,2,2,0,0,0.2,1.49,5.80
37,435,Oliver Perez,PIT,20,20,103.0,102,68,67,70,97,7,5,0,0,-0.7,1.67,5.85
38,436,Dave Gassner,MIN,2,2,7.2,9,7,5,1,2,1,0,0,0,-0.2,1.30,5.87
39,437,Dan Miceli,COL,19,0,18.1,19,12,12,13,19,1,2,0,2,-0.1,1.75,5.89
40,438,Rheal Cormier,PHI,57,0,47.1,56,33,31,16,34,4,2,0,2,-1.2,1.52,5.89
41,439,Jorge Julio,BAL,67,0,71.2,76,50,47,24,58,3,5,0,2,-1.0,1.40,5.90
42,440,Mark Hendrickson,TB,31,31,178.1,227,126,117,49,89,11,8,0,0,-0.9,1.55,5.90
0,441,Keith Foulke,BOS,43,0,45.2,53,30,30,18,34,5,5,15,4,-0.2,1.55,5.91
1,442,Jonathan Broxton,LA,14,0,13.2,13,11,9,12,22,1,0,0,1,-0.3,1.83,5.93
2,443,Dan Kolb,ATL,65,0,57.2,78,39,38,29,39,3,8,11,7,-1.3,1.86,5.93
3,444,Kirk Rueter,SF,20,18,107.1,131,78,71,47,25,2,7,0,0,-1.0,1.66,5.95
4,445,Tim Corcoran,TB,10,1,22.2,19,15,15,12,13,0,0,0,0,0.0,1.37,5.96
5,446,Dana Eveland,MIL,27,0,31.2,40,21,21,18,23,1,1,1,1,-0.5,1.83,5.97
6,447,Matt Kinney,SF,5,1,12.0,18,8,8,6,3,2,0,0,1,-0.1,2.00,6.00
7,,Jeremy Guthrie,CLE,1,0,6.0,9,4,4,2,3,0,0,0,0,-0.1,1.83,6.00
8,,Craig Hansen,BOS,4,0,3.0,6,2,2,1,3,0,0,0,1,0.0,2.33,6.00
9,450,Scott Erickson,LA,19,8,55.1,62,37,37,25,15,1,4,0,0,-0.6,1.57,6.02
10,RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
11,451,Manny Aybar,NYM,22,0,25.1,31,17,17,7,27,0,0,0,1,-0.2,1.50,6.04
12,452,Scott Proctor,NYY,29,1,44.2,46,32,30,17,36,1,0,0,0,-0.2,1.41,6.04
13,453,Jaret Wright,NYY,13,13,63.2,81,51,43,32,34,5,5,0,0,-0.5,1.77,6.08
14,454,Scott Dohmann,COL,32,0,31.0,33,21,21,19,35,2,1,0,3,-0.4,1.68,6.10
15,455,Ryan Wagner,CIN,42,0,45.2,56,33,31,17,39,3,2,0,1,-0.6,1.60,6.11
16,456,Todd Wellemeyer,CHC,22,0,32.1,32,23,22,22,32,2,1,1,0,-0.5,1.67,6.12
17,457,Al Leiter,NYY/FLA,33,26,142.1,154,103,97,98,97,7,12,0,0,0.1,1.77,6.13
18,458,Valerio De Los Santos,FLA,27,0,22.0,25,15,15,12,16,1,2,0,1,-0.3,1.68,6.14
19,459,Matt Ginter,DET,14,1,35.0,49,25,24,9,15,0,1,0,0,-0.4,1.66,6.17
