,COL,LA,HOU,FLA,ARI,NYM,SF,NYY,MIN,BOS,SD,SEA,TOR,WAS,DET,PIT,LAA,TEX,CLE,CHC,BAL,ATL,STL,OAK,PHI,TB,CIN,CWS,MIL,KC
WHIP,1.6150000000000002,1.424090909090909,1.4678947368421054,1.6114285714285717,1.6432000000000002,1.445,1.5795238095238093,1.5495833333333333,1.3205882352941174,1.6735714285714283,1.3427272727272728,1.7095999999999996,1.438095238095238,1.640344827586207,1.4442105263157896,1.5340909090909094,1.5061111111111112,1.4884615384615383,1.4356521739130437,1.5295652173913046,1.85625,1.9023076923076923,1.4633333333333334,1.5154999999999998,1.4918181818181822,1.7320000000000002,1.5555172413793104,1.4633333333333332,1.7003846153846156,1.7032258064516128
ERA,5.312083333333335,4.518636363636363,4.371578947368422,4.2457142857142856,6.2128,5.344615384615384,5.181428571428571,5.291666666666667,4.16,5.846785714285714,4.521363636363637,6.9552,4.6519047619047615,6.0524137931034465,4.082631578947368,4.837272727272727,5.531666666666667,4.982692307692307,4.424347826086957,5.03391304347826,7.477083333333333,7.091153846153846,4.927777777777778,4.852500000000001,4.759090909090909,6.3916,5.635172413793103,4.564444444444444,6.446538461538461,6.449999999999998
pWAR,0.625,0.8727272727272727,0.663157894736842,0.6428571428571428,0.5759999999999996,0.4653846153846153,0.27619047619047604,0.8833333333333334,1.264705882352941,0.6107142857142858,0.5454545454545454,0.29599999999999993,0.5095238095238097,0.08275862068965519,1.0157894736842104,0.5772727272727275,1.1666666666666665,0.4615384615384616,0.6,0.3695652173913043,0.15416666666666662,0.33461538461538454,0.25000000000000017,0.7900000000000001,0.6136363636363635,0.3600000000000001,0.4965517241379312,1.0388888888888888,0.1000000000000001,-0.27419354838709675
