,SF,TOR,NYM,HOU,MON,NYY,TEX,CHC,OAK,KC,ANA,SEA,MIN,ARI,LA,COL,STL,BOS,PHI,SD,CIN,BAL,MIL,DET,ATL,FLA,CWS,TB,PIT,CLE,nan
AVG,0.23734210526315785,0.13779545454545453,0.17533333333333337,0.173,0.18688372093023256,0.1720263157894737,0.13640816326530614,0.18013953488372095,0.15802500000000003,0.13158823529411767,0.16105128205128208,0.168325,0.16514285714285717,0.17057142857142854,0.2013658536585366,0.2039285714285714,0.17254761904761903,0.14857894736842106,0.16292307692307695,0.12020338983050848,0.17232558139534881,0.13565909090909092,0.15426530612244901,0.12115789473684213,0.1451142857142857,0.15102439024390243,0.1510857142857143,0.11721428571428574,0.15142105263157893,0.12577192982456142,0.0
OBP,0.2764736842105262,0.1668181818181818,0.22502083333333336,0.2218292682926829,0.24844186046511624,0.20307894736842105,0.17957142857142855,0.2235116279069768,0.21435000000000004,0.17780392156862745,0.18594871794871798,0.204625,0.19542857142857142,0.22471428571428564,0.2711463414634147,0.2394999999999999,0.2060714285714286,0.19831578947368417,0.23143589743589751,0.15137288135593216,0.21641860465116278,0.1693181818181818,0.2016122448979592,0.14912280701754388,0.19665714285714286,0.1887073170731707,0.18914285714285714,0.14497619047619045,0.20207894736842105,0.1667894736842105,0.0
SLG,0.3353157894736841,0.19993181818181818,0.2491875000000001,0.2650487804878049,0.268279069767442,0.2706578947368421,0.21267346938775508,0.25844186046511636,0.2544,0.18758823529411758,0.2301538461538462,0.24297500000000002,0.23807142857142857,0.2608571428571428,0.2907317073170732,0.2874999999999999,0.2539047619047619,0.23473684210526322,0.24915384615384617,0.16766101694915253,0.2585581395348837,0.20190909090909093,0.22440816326530616,0.18389473684210528,0.21742857142857147,0.21956097560975613,0.2376857142857143,0.1748809523809524,0.22486842105263158,0.19273684210526315,0.0
OPS,0.6116578947368422,0.36654545454545445,0.47422916666666665,0.48682926829268297,0.5167209302325583,0.4737894736842105,0.3922653061224489,0.4819302325581396,0.4687,0.36545098039215673,0.41607692307692307,0.447475,0.4335714285714285,0.485547619047619,0.5619024390243902,0.5269285714285714,0.45985714285714285,0.4329736842105264,0.4805641025641024,0.3190169491525424,0.4749767441860464,0.37125,0.4260408163265306,0.3329824561403509,0.414,0.40819512195121954,0.42685714285714277,0.31985714285714284,0.42689473684210527,0.3595614035087721,0.0
bWAR,0.9710526315789472,0.3568181818181819,0.3312499999999999,0.22682926829268293,0.39069767441860465,0.7184210526315788,0.40816326530612246,0.2325581395348837,0.6899999999999997,0.08627450980392155,0.8794871794871794,0.6649999999999998,0.5380952380952381,0.36190476190476206,0.5390243902439024,0.36666666666666664,0.7714285714285712,0.8657894736842104,0.8410256410256408,0.16610169491525426,0.1930232558139535,0.3409090909090909,0.13061224489795917,0.06315789473684214,0.5885714285714284,0.4365853658536586,0.802857142857143,0.22857142857142856,0.14210526315789468,0.1982456140350877,0.0
