,HOME,AWAY,YEAR,SCORE
3,OAK,DET,1993,5
5,CIN,MON,1993,1
7,NYM,COL,1993,3
8,FLA,LAD,1993,3
9,CAL,MIL,1993,2
11,SEA,TOR,1993,7
12,CHC,ATL,1993,1
14,PIT,SD,1993,5
19,CLE,NYY,1993,2
21,MIN,CWS,1993,5
22,OAK,DET,1993,5
27,NYM,COL,1993,5
28,STL,SF,1993,4
30,CLE,NYY,1993,10
34,ATL,LAD,1993,5
36,PIT,SD,1993,1
37,STL,SF,1993,1
38,CAL,DET,1993,2
42,SEA,BAL,1993,6
43,TEX,BOS,1993,2
44,TOR,CLE,1993,3
45,ATL,LAD,1993,2
48,PIT,SF,1993,1
49,STL,CIN,1993,6
50,COL,MON,1993,7
55,OAK,MIL,1993,1
58,TOR,CLE,1993,1
61,PHI,CHC,1993,1
63,STL,CIN,1993,1
64,COL,MON,1993,4
65,FLA,SD,1993,1
66,CAL,DET,1993,1
67,CWS,NYY,1993,2
68,KC,MIN,1993,1
69,OAK,MIL,1993,6
70,SEA,BAL,1993,1
71,TEX,BOS,1993,3
73,ATL,LAD,1993,3
75,PHI,CHC,1993,3
82,NYY,KC,1993,3
83,TEX,BAL,1993,3
85,PHI,CIN,1993,1
87,SF,FLA,1993,1
88,BOS,CLE,1993,4
89,CWS,MIN,1993,4
90,DET,OAK,1993,16
91,TEX,BAL,1993,5
92,TOR,SEA,1993,1
93,ATL,CHC,1993,1
96,PHI,CIN,1993,3
98,SF,FLA,1993,2
100,BOS,CLE,1993,5
102,NYY,KC,1993,1
108,PHI,CIN,1993,7
112,BOS,CLE,1993,1
113,DET,OAK,1993,1
115,TOR,SEA,1993,2
117,MON,HOU,1993,1
119,SF,ATL,1993,5
120,COL,NYM,1993,2
121,BAL,CAL,1993,3
123,CLE,TOR,1993,12
124,DET,SEA,1993,5
125,MIN,KC,1993,1
126,NYY,TEX,1993,2
127,CHC,PHI,1993,2
129,HOU,FLA,1993,6
130,LAD,PIT,1993,3
131,MON,COL,1993,1
132,SD,STL,1993,4
133,SF,ATL,1993,1
135,BOS,CWS,1993,4
137,DET,SEA,1993,17
138,MIL,OAK,1993,3
139,MIN,KC,1993,6
141,CHC,PHI,1993,3
144,LAD,PIT,1993,3
146,SD,STL,1993,1
148,BAL,CAL,1993,1
149,BOS,CWS,1993,4
150,CLE,TOR,1993,1
151,DET,SEA,1993,1
152,MIL,OAK,1993,8
156,CIN,NYM,1993,1
157,HOU,FLA,1993,3
158,LAD,PIT,1993,2
159,MON,COL,1993,2
160,SD,STL,1993,4
161,SF,ATL,1993,1
162,BOS,CWS,1993,6
166,CAL,CLE,1993,5
167,DET,TEX,1993,2
168,KC,TOR,1993,6
169,MIN,MIL,1993,10
170,OAK,NYY,1993,2
172,CHC,HOU,1993,1
173,MON,LAD,1993,4
175,PHI,SD,1993,1
177,STL,COL,1993,5
179,CAL,CLE,1993,1
180,DET,TEX,1993,1
181,KC,TOR,1993,1
184,SEA,BOS,1993,5
186,MON,LAD,1993,2
187,NYM,SF,1993,10
192,CAL,CLE,1993,8
194,MIN,MIL,1993,1
196,SEA,BOS,1993,7
197,MON,LAD,1993,2
200,PIT,CIN,1993,1
201,STL,COL,1993,3
202,FLA,ATL,1993,1
203,CAL,BOS,1993,3
204,KC,BAL,1993,1
205,MIL,TEX,1993,3
207,SEA,NYY,1993,3
209,CHC,CIN,1993,3
210,MON,SF,1993,5
211,NYM,SD,1993,5
212,PHI,LAD,1993,2
215,COL,FLA,1993,1
216,CAL,BOS,1993,3
222,TOR,CWS,1993,6
224,MON,SF,1993,5
226,PHI,LAD,1993,4
230,CAL,BOS,1993,1
231,KC,BAL,1993,1
236,TOR,CWS,1993,1
237,CHC,CIN,1993,1
240,PHI,LAD,1993,3
241,PIT,HOU,1993,5
242,STL,ATL,1993,4
244,CWS,BAL,1993,7
246,MIL,MIN,1993,7
247,SEA,CLE,1993,3
248,TOR,TEX,1993,2
250,CIN,FLA,1993,3
252,PHI,SF,1993,1
256,CWS,BAL,1993,5
257,KC,DET,1993,1
258,MIL,MIN,1993,1
259,OAK,BOS,1993,5
260,SEA,CLE,1993,4
261,TOR,TEX,1993,1
264,HOU,STL,1993,7
267,SD,MON,1993,3
268,COL,CHC,1993,9
269,BAL,MIN,1993,4
270,CAL,NYY,1993,1
271,CWS,MIL,1993,9
273,SEA,CLE,1993,4
274,TEX,DET,1993,1
277,CIN,PIT,1993,2
278,HOU,CHC,1993,5
279,LAD,MON,1993,5
281,SF,NYM,1993,1
283,BAL,MIN,1993,11
284,CWS,MIL,1993,3
286,TOR,KC,1993,8
288,HOU,CHC,1993,1
291,SF,NYM,1993,5
293,BAL,KC,1993,7
294,BOS,CAL,1993,5
295,CWS,TOR,1993,8
297,DET,MIN,1993,8
298,NYY,SEA,1993,3
300,ATL,STL,1993,1
302,HOU,PIT,1993,9
304,SD,NYM,1993,1
305,SF,MON,1993,3
308,BOS,CAL,1993,2
309,CWS,TOR,1993,6
310,CLE,OAK,1993,1
312,NYY,SEA,1993,4
315,CIN,CHC,1993,5
316,HOU,PIT,1993,4
317,LAD,PHI,1993,4
318,SD,NYM,1993,2
319,SF,MON,1993,4
320,FLA,COL,1993,1
322,BOS,CAL,1993,2
323,CWS,TOR,1993,6
324,CLE,OAK,1993,1
326,NYY,SEA,1993,4
329,CIN,CHC,1993,5
330,HOU,PIT,1993,4
331,LAD,PHI,1993,4
332,SD,NYM,1993,2
333,SF,MON,1993,4
334,FLA,COL,1993,1
335,BAL,KC,1993,1
336,BOS,CAL,1993,1
338,CLE,OAK,1993,8
340,NYY,SEA,1993,1
341,TEX,MIL,1993,11
342,ATL,STL,1993,1
347,SF,MON,1993,1
350,CLE,CAL,1993,1
352,TEX,MIL,1993,7
354,CLE,CAL,1993,2
355,DET,KC,1993,2
356,MIL,CWS,1993,5
357,MIN,BAL,1993,1
358,NYY,OAK,1993,2
359,TEX,TOR,1993,1
361,LAD,NYM,1993,4
362,MON,SD,1993,5
364,STL,HOU,1993,5
366,FLA,CIN,1993,3
367,BOS,OAK,1993,2
368,CLE,SEA,1993,1
373,TEX,TOR,1993,6
374,CHC,COL,1993,1
375,LAD,NYM,1993,1
376,MON,SD,1993,1
377,PIT,ATL,1993,3
379,SF,PHI,1993,9
384,TOR,BAL,1993,2
387,CAL,OAK,1993,1
388,CWS,CLE,1993,1
389,DET,NYY,1993,1
390,KC,TEX,1993,5
393,TOR,BAL,1993,1
396,NYM,FLA,1993,4
397,PHI,STL,1993,1
399,SF,LAD,1993,3
402,CWS,CLE,1993,3
404,MIL,BOS,1993,3
405,SEA,MIN,1993,5
407,CHC,SD,1993,2
408,HOU,CIN,1993,11
410,PHI,STL,1993,1
411,PIT,MON,1993,1
414,CAL,OAK,1993,1
415,CWS,CLE,1993,1
418,MIL,BOS,1993,6
419,SEA,MIN,1993,2
422,HOU,CIN,1993,3
424,PHI,STL,1993,1
425,PIT,MON,1993,1
428,BAL,BOS,1993,1
430,DET,NYY,1993,1
433,CHC,LAD,1993,4
434,CIN,SD,1993,1
435,HOU,ATL,1993,3
436,NYM,FLA,1993,1
437,PHI,PIT,1993,4
438,COL,SF,1993,3
440,CAL,MIN,1993,2
442,NYY,MIL,1993,4
443,OAK,TEX,1993,6
444,SEA,CWS,1993,1
446,CHC,LAD,1993,1
447,CIN,SD,1993,2
449,MON,FLA,1993,2
451,STL,NYM,1993,3
455,CLE,KC,1993,4
457,OAK,TEX,1993,1
461,CIN,SD,1993,1
464,PHI,PIT,1993,3
465,STL,NYM,1993,1
468,NYY,MIL,1993,2
470,TOR,DET,1993,1
471,CIN,SD,1993,6
472,MON,FLA,1993,1
476,DET,BAL,1993,1
477,MIL,CLE,1993,3
478,MIN,BOS,1993,1
480,OAK,SEA,1993,1
482,ATL,PHI,1993,3
483,CHC,PIT,1993,1
484,CIN,COL,1993,8
485,HOU,LAD,1993,8
486,MON,NYM,1993,1
487,STL,FLA,1993,5
488,SD,SF,1993,2
489,CAL,KC,1993,2
490,DET,BAL,1993,2
492,MIN,BOS,1993,3
493,NYY,TOR,1993,1
494,OAK,SEA,1993,1
495,TEX,CWS,1993,2
496,ATL,PHI,1993,2
497,CHC,PIT,1993,9
498,CIN,COL,1993,2
499,HOU,LAD,1993,6
500,MON,NYM,1993,1
505,MIL,CLE,1993,2
512,CIN,COL,1993,12
513,HOU,LAD,1993,1
514,MON,NYM,1993,1
515,STL,FLA,1993,1
522,ATL,MON,1993,3
523,LAD,CIN,1993,1
525,SD,COL,1993,4
526,SF,HOU,1993,1
528,BAL,CLE,1993,7
529,CWS,CAL,1993,3
530,KC,OAK,1993,5
533,TEX,SEA,1993,1
535,LAD,CIN,1993,8
539,SF,HOU,1993,5
541,BAL,CLE,1993,3
542,BOS,TOR,1993,5
544,KC,OAK,1993,5
547,TEX,SEA,1993,1
548,ATL,MON,1993,1
549,LAD,CIN,1993,3
550,NYM,PIT,1993,2
552,SD,COL,1993,4
553,SF,HOU,1993,3
554,FLA,PHI,1993,2
560,PHI,MON,1993,6
561,STL,CHC,1993,3
562,SD,COL,1993,1
563,SF,CIN,1993,5
565,BOS,NYY,1993,5
567,CLE,DET,1993,5
568,KC,SEA,1993,1
569,TEX,CAL,1993,2
570,TOR,MIN,1993,9
571,LAD,COL,1993,8
575,SD,HOU,1993,1
576,SF,CIN,1993,3
577,FLA,CHC,1993,2
578,BAL,MIL,1993,1
582,KC,SEA,1993,3
583,TEX,CAL,1993,2
584,TOR,MIN,1993,7
585,LAD,COL,1993,1
586,NYM,ATL,1993,5
588,PIT,STL,1993,2
589,SD,HOU,1993,5
593,BOS,NYY,1993,3
594,CWS,OAK,1993,1
598,TOR,MIN,1993,1
599,LAD,COL,1993,4
601,PHI,MON,1993,7
604,SF,CIN,1993,1
605,FLA,CHC,1993,2
606,CLE,TEX,1993,3
609,SEA,CAL,1993,1
610,TOR,MIL,1993,3
611,LAD,SD,1993,1
613,PHI,NYM,1993,3
616,DET,BOS,1993,3
617,NYY,BAL,1993,1
618,OAK,MIN,1993,2
620,TOR,MIL,1993,2
624,LAD,SD,1993,1
625,MON,STL,1993,2
626,PHI,NYM,1993,2
627,PIT,FLA,1993,2
629,CLE,TEX,1993,1
630,DET,BOS,1993,2
633,SEA,CAL,1993,2
635,CHC,SF,1993,2
636,CIN,ATL,1993,4
638,LAD,SD,1993,5
639,MON,STL,1993,6
646,CHC,SF,1993,1
647,CIN,ATL,1993,1
648,HOU,COL,1993,8
649,PIT,FLA,1993,5
650,BOS,TEX,1993,3
651,CAL,BAL,1993,4
652,MIL,KC,1993,4
653,MIN,CLE,1993,1
654,NYY,CWS,1993,4
655,OAK,TOR,1993,1
656,SEA,DET,1993,1
657,ATL,SF,1993,3
661,STL,SD,1993,1
663,FLA,HOU,1993,1
664,BOS,TEX,1993,14
665,CAL,BAL,1993,3
667,MIN,CLE,1993,6
668,NYY,CWS,1993,6
673,NYM,CIN,1993,1
678,BOS,TEX,1993,1
679,CAL,BAL,1993,2
680,MIL,KC,1993,6
681,MIN,CLE,1993,6
682,NYY,CWS,1993,3
684,SEA,DET,1993,4
686,CHC,MON,1993,3
688,PIT,LAD,1993,2
689,STL,SD,1993,6
695,NYY,CLE,1993,6
697,ATL,SD,1993,1
699,CIN,PHI,1993,2
700,HOU,MON,1993,1
702,COL,PIT,1993,4
706,MIN,TEX,1993,2
708,OAK,BAL,1993,3
711,CHC,NYM,1993,5
716,FLA,SF,1993,4
721,MIN,TEX,1993,3
722,NYY,CLE,1993,3
724,SEA,MIL,1993,3
725,ATL,SD,1993,3
728,HOU,MON,1993,1
729,STL,LAD,1993,1
732,DET,CWS,1993,2
733,KC,MIL,1993,1
736,MON,CHC,1993,6
738,BAL,SEA,1993,1
742,KC,MIL,1993,1
743,TEX,NYY,1993,2
744,TOR,OAK,1993,1
745,HOU,NYM,1993,5
746,LAD,ATL,1993,1
747,MON,CHC,1993,2
751,BAL,SEA,1993,2
752,CWS,BOS,1993,8
753,CLE,MIN,1993,1
754,DET,CAL,1993,4
757,TOR,OAK,1993,4
758,CIN,STL,1993,4
759,HOU,NYM,1993,2
760,LAD,ATL,1993,4
761,MON,CHC,1993,3
762,PHI,COL,1993,4
764,SF,PIT,1993,1
765,BAL,SEA,1993,3
766,CWS,BOS,1993,1
768,DET,CAL,1993,7
769,KC,MIL,1993,1
770,TEX,NYY,1993,1
773,HOU,NYM,1993,1
776,PHI,COL,1993,4
778,SF,PIT,1993,6
779,BAL,OAK,1993,1
780,CWS,DET,1993,4
781,KC,NYY,1993,5
782,MIL,SEA,1993,2
783,TEX,MIN,1993,6
784,TOR,CAL,1993,2
787,NYM,CHC,1993,5
788,PHI,HOU,1993,2
790,BAL,OAK,1993,2
792,CLE,BOS,1993,1
794,MIL,SEA,1993,1
796,TOR,CAL,1993,8
797,LAD,FLA,1993,1
798,MON,CIN,1993,2
802,SD,ATL,1993,1
804,BAL,OAK,1993,3
806,CLE,BOS,1993,1
807,KC,NYY,1993,7
812,PHI,HOU,1993,8
813,PIT,COL,1993,3
814,SF,STL,1993,2
816,DET,TOR,1993,2
821,STL,MON,1993,3
822,SD,LAD,1993,12
823,FLA,PIT,1993,1
825,CAL,SEA,1993,6
826,DET,TOR,1993,5
829,MIN,OAK,1993,3
831,ATL,CIN,1993,1
833,STL,MON,1993,1
834,SD,LAD,1993,1
835,SF,CHC,1993,5
836,COL,HOU,1993,1
837,FLA,PIT,1993,8
840,DET,TOR,1993,11
842,MIL,NYY,1993,8
843,MIN,OAK,1993,5
845,ATL,CIN,1993,5
847,STL,MON,1993,10
849,SF,CHC,1993,1
850,COL,HOU,1993,3
851,FLA,PIT,1993,3
852,BOS,BAL,1993,2
855,KC,CWS,1993,1
858,TEX,CLE,1993,4
859,ATL,CIN,1993,7
863,SF,CHC,1993,2
864,COL,HOU,1993,8
865,FLA,PIT,1993,3
866,CAL,TEX,1993,6
867,DET,CLE,1993,4
869,MIN,TOR,1993,1
870,NYY,BOS,1993,4
871,OAK,CWS,1993,4
872,SEA,KC,1993,3
874,CHC,FLA,1993,3
876,STL,PIT,1993,5
879,DET,CLE,1993,6
882,NYY,BOS,1993,2
884,SEA,KC,1993,5
885,ATL,NYM,1993,1
886,CHC,FLA,1993,3
887,CIN,SF,1993,5
889,MON,PHI,1993,4
890,STL,PIT,1993,3
892,CAL,TEX,1993,3
894,MIL,BAL,1993,5
899,ATL,NYM,1993,3
900,CHC,FLA,1993,2
902,HOU,SD,1993,1
903,MON,PHI,1993,1
904,STL,PIT,1993,1
905,COL,LAD,1993,1
907,DET,CLE,1993,4
908,NYY,MIN,1993,1
909,OAK,CWS,1993,3
910,TOR,BOS,1993,7
913,HOU,SD,1993,3
915,PIT,NYM,1993,4
916,CAL,CWS,1993,1
919,NYY,MIN,1993,5
920,OAK,KC,1993,1
921,SEA,TEX,1993,1
922,TOR,BOS,1993,9
923,CHC,STL,1993,5
924,CIN,LAD,1993,1
926,MON,ATL,1993,1
927,PHI,FLA,1993,4
928,PIT,NYM,1993,3
930,CAL,CWS,1993,1
931,CLE,BAL,1993,3
932,DET,MIL,1993,3
933,NYY,MIN,1993,4
935,SEA,TEX,1993,1
936,TOR,BOS,1993,5
938,CIN,LAD,1993,4
941,PHI,FLA,1993,3
942,PIT,NYM,1993,5
943,COL,SD,1993,14
946,DET,MIL,1993,4
947,NYY,MIN,1993,8
948,OAK,KC,1993,3
949,SEA,TEX,1993,11
950,TOR,BOS,1993,1
955,PHI,FLA,1993,1
956,PIT,NYM,1993,1
957,COL,SD,1993,2
958,BOS,MIN,1993,3
959,CWS,TEX,1993,1
960,CLE,MIL,1993,3
963,LAD,HOU,1993,7
964,NYM,MON,1993,5
967,SF,SD,1993,1
968,COL,CIN,1993,1
970,BAL,DET,1993,3
971,BOS,MIN,1993,3
972,CWS,TEX,1993,1
973,CLE,MIL,1993,1
974,KC,CAL,1993,2
976,TOR,NYY,1993,1
979,PHI,ATL,1993,2
980,PIT,CHC,1993,5
983,FLA,STL,1993,2
984,BAL,DET,1993,4
985,BOS,MIN,1993,2
986,CWS,TEX,1993,3
987,CLE,MIL,1993,2
989,SEA,OAK,1993,1
993,PHI,ATL,1993,5
994,PIT,CHC,1993,5
995,SF,SD,1993,4
996,COL,CIN,1993,10
998,BAL,DET,1993,4
1000,KC,CAL,1993,6
1002,TOR,NYY,1993,5
1005,SF,COL,1993,15
1006,BAL,NYY,1993,1
1007,BOS,DET,1993,6
1009,CLE,KC,1993,5
1010,MIL,TOR,1993,1
1011,MIN,CAL,1993,3
1012,ATL,HOU,1993,6
1017,SF,COL,1993,5
1018,FLA,MON,1993,2
1019,BAL,NYY,1993,2
1020,BOS,DET,1993,9
1021,CWS,SEA,1993,3
1022,CLE,KC,1993,3
1025,TEX,OAK,1993,3
1026,ATL,HOU,1993,1
1027,LAD,CHC,1993,1
1029,PIT,PHI,1993,2
1030,SD,CIN,1993,2
1034,BOS,DET,1993,6
1035,CWS,SEA,1993,2
1036,CLE,KC,1993,1
1038,MIN,CAL,1993,2
1039,TEX,OAK,1993,4
1041,LAD,CHC,1993,2
1043,PIT,PHI,1993,1
1045,SF,COL,1993,5
1046,FLA,MON,1993,7
1048,BOS,MIL,1993,1
1049,CLE,CWS,1993,2
1051,NYY,DET,1993,6
1053,LAD,SF,1993,4
1055,STL,PHI,1993,2
1059,CLE,CWS,1993,6
1060,MIN,SEA,1993,2
1061,NYY,DET,1993,1
1062,OAK,CAL,1993,1
1063,TEX,KC,1993,1
1064,ATL,COL,1993,2
1065,CIN,HOU,1993,3
1067,MON,PIT,1993,7
1071,BAL,TOR,1993,6
1072,BOS,MIL,1993,10
1073,CLE,CWS,1993,2
1075,NYY,DET,1993,7
1076,OAK,CAL,1993,1
1077,TEX,KC,1993,1
1078,ATL,COL,1993,1
1079,CIN,HOU,1993,1
1080,LAD,SF,1993,2
1081,MON,PIT,1993,8
1082,STL,PHI,1993,6
1088,OAK,CAL,1993,3
1089,ATL,COL,1993,4
1091,MON,PIT,1993,2
1092,STL,PHI,1993,9
1093,FLA,NYM,1993,2
1097,OAK,CAL,1993,3
1098,ATL,COL,1993,4
1100,MON,PIT,1993,2
1101,STL,PHI,1993,9
1102,FLA,NYM,1993,2
1104,CWS,BAL,1993,11
1105,DET,TEX,1993,2
1106,KC,TOR,1993,1
1107,MIN,MIL,1993,1
1108,OAK,NYY,1993,1
1111,HOU,STL,1993,6
1117,CIN,PIT,1993,8
1118,PHI,SD,1993,1
1122,KC,TOR,1993,1
1124,OAK,NYY,1993,1
1126,ATL,FLA,1993,9
1127,CIN,PIT,1993,2
1128,HOU,STL,1993,6
1129,MON,LAD,1993,2
1130,NYM,SF,1993,3
1132,COL,CHC,1993,1
1133,CAL,CLE,1993,1
1134,CWS,BAL,1993,2
1136,KC,TOR,1993,2
1137,MIN,MIL,1993,1
1138,OAK,NYY,1993,1
1140,ATL,FLA,1993,1
1141,CIN,PIT,1993,5
1142,HOU,STL,1993,5
1145,PHI,SD,1993,4
1146,COL,CHC,1993,2
1148,KC,BAL,1993,6
1150,MIN,DET,1993,10
1153,ATL,FLA,1993,2
1154,CIN,PIT,1993,2
1158,PHI,LAD,1993,4
1160,OAK,CLE,1993,1
1162,CAL,BOS,1993,1
1167,SEA,NYY,1993,8
1168,TOR,CWS,1993,4
1169,CHC,CIN,1993,1
1172,NYM,SD,1993,2
1174,STL,ATL,1993,1
1175,COL,FLA,1993,5
1176,CAL,BOS,1993,1
1178,MIL,TEX,1993,1
1180,OAK,CLE,1993,3
1181,SEA,NYY,1993,1
1185,MON,SF,1993,3
1187,PHI,LAD,1993,1
1188,STL,ATL,1993,2
1189,COL,FLA,1993,1
1191,CAL,NYY,1993,1
1192,KC,DET,1993,1
1193,MIL,MIN,1993,12
1197,HOU,PIT,1993,6
1198,MON,SD,1993,1
1200,STL,ATL,1993,6
1201,COL,FLA,1993,1
1203,NYM,LAD,1993,3
1204,BAL,CWS,1993,6
1205,CAL,NYY,1993,2
1207,MIL,MIN,1993,1
1209,SEA,CLE,1993,1
1211,MON,SD,1993,1
1212,NYM,LAD,1993,1
1213,PHI,SF,1993,5
1215,STL,COL,1993,6
1216,FLA,ATL,1993,3
1220,CAL,NYY,1993,1
1221,KC,DET,1993,4
1222,MIL,MIN,1993,1
1224,SEA,CLE,1993,1
1227,MON,SD,1993,1
1230,PIT,CIN,1993,1
1233,ALS,NLS,1993,6
1234,BAL,MIN,1993,2
1236,CLE,CAL,1993,4
1239,TEX,DET,1993,5
1240,TOR,KC,1993,5
1241,ATL,PIT,1993,4
1242,CHC,COL,1993,1
1243,CIN,FLA,1993,3
1244,LAD,MON,1993,1
1245,STL,HOU,1993,2
1246,SD,PHI,1993,3
1247,SF,NYM,1993,7
1248,BAL,MIN,1993,2
1249,BOS,SEA,1993,2
1252,NYY,OAK,1993,7
1253,TEX,DET,1993,3
1255,ATL,PIT,1993,1
1256,CHC,COL,1993,6
1257,CIN,FLA,1993,4
1258,LAD,MON,1993,1
1260,SD,PHI,1993,2
1261,SF,NYM,1993,2
1263,BOS,SEA,1993,1
1264,CLE,CAL,1993,3
1266,NYY,OAK,1993,4
1270,CHC,COL,1993,4
1273,STL,HOU,1993,2
1274,SD,PHI,1993,2
1276,BAL,MIN,1993,5
1277,BOS,SEA,1993,1
1278,CLE,CAL,1993,1
1280,NYY,OAK,1993,7
1282,TOR,KC,1993,1
1283,ATL,PIT,1993,2
1284,CHC,COL,1993,10
1285,CIN,FLA,1993,2
1286,LAD,MON,1993,1
1287,STL,HOU,1993,1
1290,BAL,KC,1993,1
1291,BOS,CAL,1993,2
1293,CLE,OAK,1993,2
1295,NYY,SEA,1993,6
1296,TEX,MIL,1993,2
1302,SF,MON,1993,4
1303,FLA,COL,1993,2
1304,BAL,KC,1993,7
1305,BOS,CAL,1993,1
1306,CWS,TOR,1993,1
1307,CLE,OAK,1993,4
1310,TEX,MIL,1993,4
1311,ATL,STL,1993,3
1312,CIN,CHC,1993,5
1314,PIT,HOU,1993,1
1315,SD,NYM,1993,3
1316,SF,MON,1993,5
1319,BOS,CAL,1993,3
1324,ATL,STL,1993,12
1329,SF,MON,1993,1
1330,FLA,COL,1993,2
1331,BOS,OAK,1993,2
1332,CWS,MIL,1993,5
1335,MIN,BAL,1993,4
1336,NYY,CAL,1993,11
1338,HOU,CHC,1993,5
1340,PIT,ATL,1993,1
1342,SF,PHI,1993,3
1343,COL,STL,1993,1
1345,BOS,OAK,1993,1
1347,CLE,SEA,1993,5
1350,NYY,CAL,1993,3
1351,TEX,TOR,1993,1
1352,HOU,CHC,1993,4
1353,LAD,NYM,1993,3
1359,BOS,OAK,1993,2
1360,CWS,MIL,1993,1
1364,NYY,CAL,1993,2
1367,LAD,NYM,1993,1
1369,SD,MON,1993,7
1370,SF,PHI,1993,1
1371,COL,STL,1993,1
1372,FLA,CIN,1993,2
1373,BOS,OAK,1993,7
1375,CLE,SEA,1993,2
1376,DET,KC,1993,3
1377,MIN,BAL,1993,3
1378,NYY,CAL,1993,1
1384,SF,PHI,1993,3
1386,FLA,CIN,1993,4
1388,CWS,CLE,1993,1
1389,DET,NYY,1993,3
1390,MIL,BOS,1993,1
1391,CHC,SD,1993,3
1395,KC,TEX,1993,9
1396,KC,TEX,1993,1
1397,CAL,OAK,1993,7
1398,CWS,CLE,1993,3
1401,MIL,BOS,1993,1
1402,SEA,MIN,1993,2
1403,TOR,BAL,1993,1
1405,HOU,CIN,1993,1
1406,NYM,FLA,1993,1
1407,PHI,STL,1993,3
1409,SF,LAD,1993,1
1411,CAL,OAK,1993,1
1412,CWS,CLE,1993,5
1417,TOR,BAL,1993,1
1418,CHC,SD,1993,2
1419,HOU,CIN,1993,2
1420,NYM,FLA,1993,1
1421,PHI,STL,1993,8
1422,PIT,MON,1993,1
1426,KC,TEX,1993,5
1428,SEA,MIN,1993,1
1429,TOR,DET,1993,3
1430,HOU,ATL,1993,2
1432,PHI,STL,1993,2
1435,CAL,MIN,1993,2
1436,KC,CLE,1993,3
1437,NYY,MIL,1993,4
1438,OAK,TEX,1993,3
1441,CHC,LAD,1993,1
1444,MON,FLA,1993,10
1446,STL,NYM,1993,1
1448,BAL,BOS,1993,4
1449,CAL,MIN,1993,1
1451,NYY,MIL,1993,1
1454,TOR,DET,1993,2
1456,CIN,SD,1993,3
1458,MON,FLA,1993,1
1459,PHI,PIT,1993,8
1460,STL,NYM,1993,1
1466,OAK,TEX,1993,4
1468,TOR,DET,1993,1
1469,CHC,LAD,1993,6
1473,PHI,PIT,1993,1
1476,BAL,MIL,1993,2
1478,TEX,CWS,1993,1
1479,CHC,PIT,1993,2
1480,CIN,COL,1993,4
1482,STL,FLA,1993,2
1483,BAL,MIL,1993,5
1484,CAL,KC,1993,1
1485,CLE,DET,1993,5
1486,MIN,BOS,1993,5
1492,CIN,COL,1993,1
1493,HOU,LAD,1993,5
1494,MON,NYM,1993,2
1497,BAL,MIL,1993,2
1501,NYY,TOR,1993,4
1502,OAK,SEA,1993,1
1503,TEX,CWS,1993,3
1504,ATL,PHI,1993,1
1506,CIN,COL,1993,6
1508,MON,NYM,1993,2
1509,STL,FLA,1993,8
1510,SD,SF,1993,1
1511,BAL,MIL,1993,2
1512,CAL,KC,1993,1
1513,CLE,DET,1993,4
1515,NYY,TOR,1993,1
1517,TEX,CWS,1993,6
1520,CIN,COL,1993,7
1523,STL,FLA,1993,10
1525,BAL,CLE,1993,7
1527,DET,BOS,1993,4
1529,MIN,NYY,1993,1
1530,TEX,SEA,1993,2
1531,TOR,MIL,1993,1
1533,LAD,CIN,1993,1
1535,SF,HOU,1993,1
1536,FLA,PHI,1993,1
1537,SD,COL,1993,3
1538,SD,COL,1993,4
1539,BAL,CLE,1993,2
1540,CWS,CAL,1993,2
1542,KC,OAK,1993,3
1543,MIN,NYY,1993,1
1548,STL,CHC,1993,3
1552,NYM,PIT,1993,2
1553,BAL,CLE,1993,1
1555,DET,BOS,1993,4
1556,KC,OAK,1993,1
1558,TEX,SEA,1993,6
1560,ATL,MON,1993,1
1566,FLA,PHI,1993,1
1567,CWS,OAK,1993,1
1569,KC,SEA,1993,1
1573,SF,CIN,1993,3
1574,FLA,CHC,1993,1
1575,BOS,NYY,1993,5
1576,CWS,OAK,1993,4
1577,DET,BAL,1993,14
1578,KC,SEA,1993,3
1579,MIL,CLE,1993,1
1580,TEX,CAL,1993,3
1581,TOR,MIN,1993,3
1584,PHI,MON,1993,3
1586,SD,HOU,1993,5
1587,SF,CIN,1993,1
1588,FLA,CHC,1993,1
1591,DET,BAL,1993,10
1595,TOR,MIN,1993,2
1598,PHI,MON,1993,1
1599,PIT,STL,1993,2
1601,SF,CIN,1993,6
1602,FLA,CHC,1993,1
1605,DET,BAL,1993,6
1607,TEX,CAL,1993,2
1611,PHI,MON,1993,3
1612,PIT,STL,1993,1
1615,BOS,TOR,1993,2
1616,CWS,KC,1993,1
1617,CLE,TEX,1993,3
1618,NYY,BAL,1993,3
1620,SEA,CAL,1993,1
1625,MON,STL,1993,1
1626,PHI,NYM,1993,4
1627,PIT,FLA,1993,5
1628,MIL,DET,1993,5
1629,MIL,DET,1993,6
1631,CWS,KC,1993,3
1632,CLE,TEX,1993,3
1634,NYY,BAL,1993,2
1635,SEA,CAL,1993,5
1636,CHC,SF,1993,1
1638,HOU,COL,1993,9
1639,LAD,SD,1993,1
1648,MIL,DET,1993,2
1649,NYY,BAL,1993,1
1655,LAD,SD,1993,2
1656,MON,STL,1993,6
1657,PHI,NYM,1993,1
1658,PIT,FLA,1993,1
1661,OAK,MIL,1993,3
1662,SEA,BAL,1993,2
1668,OAK,MIL,1993,3
1669,SEA,BAL,1993,2
1670,ATL,LAD,1993,1
1671,CIN,NYM,1993,6
1672,HOU,FLA,1993,4
