,DET,CHC,CHW,CLE,NYY,LAA,PIT,NYM,COL,MIN,WSH,OAK,SD,ATL,BAL,KC,CIN,SEA,LAD,STL,MIL,SF,TB,MIA,ARI,BOS,TOR,PHI,HOU,TEX,nan
WHIP,1.4755555555555557,1.3093103448275862,1.3908333333333334,1.745555555555555,1.4463636363636356,1.64,1.2695238095238093,1.5742307692307693,1.5623333333333334,1.3816666666666668,1.2434615384615384,1.6750000000000003,1.4496153846153845,1.6675675675675672,1.4109090909090911,1.3596000000000004,1.4475,1.514285714285714,1.4183870967741934,1.3347826086956522,1.4146153846153844,1.2014285714285713,1.46925925925926,1.415862068965517,1.4549999999999996,1.4446153846153844,1.3942857142857146,1.6619999999999997,1.2833333333333334,1.4000000000000001,1.56
ERA,5.3203703703703695,4.18448275862069,3.575416666666667,4.151111111111111,4.12030303030303,3.8924000000000007,2.9795238095238097,6.421153846153846,5.088333333333335,4.671666666666666,3.4300000000000006,6.258333333333334,5.2299999999999995,6.492162162162162,4.368636363636363,4.1160000000000005,4.869999999999999,5.0360714285714305,4.978064516129032,3.146521739130435,4.447307692307692,3.7509523809523806,5.265925925925926,4.41,4.666538461538462,4.866923076923078,4.5078571428571435,5.992,4.06,5.12290322580645,4.67
pWAR,0.11851851851851858,0.7172413793103447,0.49166666666666664,0.7518518518518521,0.618181818181818,0.2879999999999999,1.0380952380952384,0.6461538461538462,0.36000000000000004,0.7166666666666667,0.8807692307692305,0.30333333333333357,0.13076923076923075,0.0702702702702702,0.759090909090909,0.7959999999999999,0.2607142857142857,0.532142857142857,0.7806451612903224,1.2347826086956522,0.31153846153846154,0.7428571428571431,0.7037037037037037,0.2862068965517242,0.3115384615384616,0.576923076923077,0.5607142857142858,0.35333333333333344,1.054166666666667,0.4967741935483869,-0.2
