,NYY,OAK,TB,LA,SEA,MIL,NYM,STL,MON,SD,COL,CHC,ANA,TEX,BOS,MIN,CIN,CLE,FLA,PIT,SF,ARI,HOU,BAL,KC,CWS,TOR,DET,PHI,ATL,nan
AVG,0.1707111111111111,0.18,0.174125,0.18184444444444448,0.22505405405405404,0.1549782608695652,0.20632608695652174,0.21506818181818177,0.17256250000000004,0.16210909090909098,0.2163673469387755,0.18946938775510203,0.16168181818181818,0.16319512195121952,0.17778,0.18357500000000004,0.18215909090909096,0.16098181818181817,0.19315000000000004,0.1832222222222222,0.23657575757575755,0.2241219512195122,0.17877777777777779,0.14134000000000002,0.1294883720930233,0.1462439024390244,0.12468888888888886,0.1321860465116279,0.16467346938775512,0.1403695652173913,0.0
OBP,0.2225333333333333,0.2559767441860465,0.21387499999999995,0.23619999999999994,0.2674324324324325,0.21413043478260876,0.2695652173913043,0.26025,0.2171875,0.20361818181818184,0.264469387755102,0.26579591836734684,0.20343181818181819,0.2078780487804878,0.21398000000000006,0.22410000000000002,0.24547727272727274,0.20607272727272727,0.25077499999999997,0.26028888888888896,0.28478787878787865,0.2772926829268293,0.21939999999999998,0.17975999999999995,0.16097674418604652,0.18807317073170737,0.18511111111111106,0.1694651162790698,0.23261224489795918,0.18884782608695655,0.077
SLG,0.25364444444444445,0.26272093023255816,0.31481249999999994,0.2819555555555555,0.3343243243243244,0.23426086956521747,0.32956521739130434,0.33725,0.24935416666666663,0.23585454545454546,0.31493877551020416,0.2889387755102042,0.22497727272727275,0.24397560975609753,0.2552,0.2738,0.3090909090909091,0.23669090909090906,0.28445,0.2642222222222222,0.3732121212121212,0.32112195121951215,0.2672,0.21602,0.17255813953488375,0.21704878048780493,0.18735555555555553,0.2063720930232558,0.23891836734693875,0.2015,0.0
OPS,0.4761111111111112,0.5186744186046511,0.5286874999999999,0.5182000000000001,0.6017027027027028,0.44847826086956527,0.5991304347826086,0.5974999999999999,0.4665833333333334,0.439509090909091,0.5794081632653061,0.554795918367347,0.4284999999999999,0.4519512195121951,0.46913999999999995,0.4978500000000001,0.554431818181818,0.44283636363636364,0.53525,0.524511111111111,0.658151515151515,0.5984146341463414,0.4865555555555557,0.39563999999999994,0.3335581395348837,0.40519512195121943,0.3725333333333333,0.3758837209302325,0.47151020408163247,0.39028260869565223,0.077
bWAR,0.4511111111111113,0.5418604651162793,0.23124999999999998,0.4844444444444444,0.7945945945945946,0.21956521739130433,0.491304347826087,0.6931818181818182,0.08125000000000002,0.19454545454545452,0.36122448979591837,0.31428571428571433,0.6454545454545453,0.34146341463414653,0.21399999999999994,0.12499999999999997,0.46136363636363636,0.5890909090909091,0.29000000000000004,0.17777777777777792,0.9484848484848484,0.2658536585365853,0.32,0.38199999999999995,0.5,0.7146341463414634,0.37777777777777777,0.4465116279069768,0.15306122448979595,0.5130434782608695,-0.3
