,COL,CLE,MIL,LAD,TEX,STL,TB,KC,NYY,CHC,PIT,SF,SEA,LAA,SD,HOU,CHW,MIN,ATL,TOR,BOS,OAK,WSH,CIN,PHI,ARI,DET,NYM,BAL,MIA
WHIP,1.564782608695652,1.5493103448275864,1.3247619047619046,1.5496296296296295,1.3964,1.3171999999999997,1.2776190476190477,1.1609523809523812,1.5404166666666665,1.4840625,1.52448275862069,1.4676190476190474,1.3840909090909088,1.8957692307692307,1.3730434782608694,1.4600000000000004,1.5920833333333337,1.337391304347826,1.293809523809524,1.6816129032258063,1.7366666666666664,1.5552631578947367,1.586190476190476,1.2975,1.7911111111111113,1.3682608695652176,1.5219999999999998,1.453793103448276,1.5276923076923077,1.643846153846154
ERA,5.231739130434782,3.794482758620689,3.8447619047619046,4.401111111111111,3.8627999999999996,4.245999999999999,3.2652380952380957,2.463809523809524,5.945833333333333,4.884062500000001,4.17655172413793,5.064761904761904,4.604545454545454,9.010384615384616,3.8739130434782605,4.621153846153846,5.377083333333334,4.745217391304347,3.5109523809523804,6.2622580645161285,5.033703703703704,5.2084210526315795,6.4071428571428575,4.721500000000001,5.300000000000001,4.141304347826087,5.240499999999999,4.9893103448275875,5.337307692307691,5.218076923076923
pWAR,0.682608695652174,0.3931034482758622,0.3428571428571428,0.5592592592592593,0.884,0.8719999999999996,0.7047619047619047,0.7095238095238097,0.6916666666666665,0.22500000000000006,0.4344827586206896,0.19523809523809543,0.5363636363636362,0.3653846153846155,0.08695652173913047,0.1307692307692308,0.9625,0.16521739130434773,1.0714285714285712,0.2548387096774194,0.6111111111111106,0.9368421052631577,0.6714285714285715,1.06,0.5296296296296297,0.2565217391304348,1.4949999999999999,0.1586206896551724,0.7923076923076925,0.7346153846153844
