,KC,BAL,OAK,FLA,SF,MIL,PHI,CIN,SD,BOS,LA,MIN,TEX,CLE,COL,DET,SEA,NYY,ATL,NYM,WAS,HOU,TB,LAA,STL,CHC,TOR,CWS,ARI,PIT,nan
AVG,0.144,0.14342222222222223,0.15029166666666666,0.17065853658536584,0.196609756097561,0.1617906976744186,0.17620512820512818,0.1815681818181818,0.14352941176470588,0.1578979591836735,0.1827333333333334,0.11943902439024387,0.12356097560975611,0.11454901960784315,0.15137209302325577,0.13485000000000005,0.15673170731707317,0.14538636363636362,0.15732558139534888,0.16405882352941178,0.1413818181818182,0.14054761904761906,0.131025,0.13914285714285718,0.15292857142857147,0.16643902439024388,0.12292682926829267,0.12100000000000001,0.15259523809523812,0.13843750000000005,0.049
OBP,0.17170731707317075,0.2018666666666666,0.17933333333333326,0.23356097560975606,0.23785365853658533,0.21439534883720926,0.22210256410256407,0.2332954545454546,0.18888235294117653,0.20771428571428577,0.22928888888888893,0.17129268292682925,0.16199999999999998,0.14670588235294119,0.2193488372093023,0.170775,0.19556097560975608,0.18613636363636366,0.22176744186046515,0.2272352941176471,0.1873636363636364,0.19447619047619047,0.17465,0.16773809523809527,0.19745238095238093,0.2126341463414634,0.15309756097560978,0.16127272727272726,0.20109523809523805,0.18014583333333337,0.066
SLG,0.2049024390243903,0.20126666666666665,0.21272916666666664,0.24787804878048778,0.2643658536585366,0.23125581395348835,0.2666923076923076,0.26672727272727276,0.20088235294117648,0.27202040816326534,0.2579777777777778,0.16985365853658535,0.19239024390243903,0.17109803921568628,0.22695348837209303,0.21630000000000002,0.23165853658536578,0.22531818181818186,0.2275581395348837,0.22515686274509805,0.2062545454545455,0.2063333333333333,0.21130000000000004,0.20202380952380952,0.2308095238095238,0.2558780487804878,0.19817073170731708,0.20168181818181818,0.24280952380952386,0.19937499999999994,0.059
OPS,0.37665853658536586,0.40319999999999995,0.3919791666666667,0.4814634146341463,0.5021463414634145,0.44562790697674415,0.48879487179487174,0.5000681818181817,0.3897450980392156,0.4797142857142857,0.4872888888888888,0.34104878048780485,0.3543170731707317,0.31782352941176467,0.4463953488372094,0.387075,0.42714634146341457,0.4114090909090909,0.4493023255813954,0.45243137254901955,0.39367272727272734,0.40078571428571436,0.386,0.3696904761904761,0.4281428571428571,0.46846341463414637,0.3512682926829268,0.3629772727272727,0.4438809523809525,0.3794999999999999,0.125
bWAR,0.002439024390243923,0.21777777777777776,0.3229166666666667,0.36829268292682926,0.22926829268292684,0.5651162790697675,0.6846153846153845,0.3818181818181819,0.2549019607843139,0.5530612244897958,0.6199999999999999,0.4365853658536583,0.4024390243902437,0.4137254901960783,0.43255813953488365,0.37,0.42682926829268286,0.6977272727272725,0.4790697674418604,0.32156862745098,0.22727272727272724,0.2523809523809525,0.7499999999999999,0.8214285714285714,0.5976190476190476,0.19512195121951212,0.6585365853658534,0.15681818181818188,0.35952380952380975,0.35208333333333325,-0.6
