,STL,PIT,CWS,MON,SF,SEA,NYM,COL,HOU,CLE,TB,TEX,NYY,ARI,ANA,MIL,MIN,ATL,BAL,SD,LA,DET,FLA,CIN,OAK,CHC,KC,BOS,TOR,PHI,nan
AVG,0.2088888888888889,0.18492857142857147,0.17597560975609755,0.18657777777777776,0.19083333333333338,0.15088636363636365,0.1639795918367347,0.16535555555555556,0.16031707317073174,0.15263829787234048,0.14082608695652174,0.11689583333333338,0.13213953488372093,0.15217307692307694,0.167,0.14635000000000004,0.15309523809523812,0.1665,0.12321739130434783,0.1552045454545455,0.16397674418604652,0.13482051282051283,0.13793181818181818,0.12914634146341467,0.13736363636363638,0.16251162790697668,0.1333818181818182,0.13544897959183674,0.12113636363636361,0.1564864864864865,0.0
OBP,0.2567777777777778,0.22871428571428568,0.20534146341463416,0.2194888888888889,0.24523809523809526,0.19347727272727272,0.20355102040816322,0.21606666666666668,0.21441463414634152,0.18591489361702124,0.1762826086956522,0.14608333333333334,0.16604651162790696,0.19340384615384615,0.2003243243243243,0.1879,0.19095238095238093,0.21519444444444444,0.1555652173913044,0.1973409090909091,0.21797674418604648,0.17497435897435898,0.17327272727272727,0.21360975609756094,0.18742424242424247,0.20130232558139535,0.1775090909090909,0.1683673469387755,0.1568181818181818,0.2495135135135135,0.0
SLG,0.29297222222222224,0.298095238095238,0.3024146341463414,0.2641555555555556,0.28904761904761905,0.21738636363636363,0.2401632653061224,0.24942222222222224,0.2306829268292683,0.2287659574468085,0.20876086956521736,0.18610416666666665,0.21095348837209296,0.23294230769230767,0.25448648648648653,0.21502500000000002,0.23864285714285713,0.25327777777777777,0.18452173913043476,0.22868181818181824,0.251953488372093,0.210974358974359,0.20715909090909088,0.20548780487804885,0.21893939393939396,0.2566046511627907,0.19716363636363635,0.2182040816326531,0.19193181818181818,0.24540540540540545,0.0
OPS,0.5498055555555554,0.5268095238095237,0.5077073170731707,0.4837777777777779,0.5342619047619045,0.41084090909090915,0.44359183673469366,0.4655111111111111,0.44529268292682933,0.41470212765957437,0.38502173913043475,0.33212499999999995,0.3769767441860466,0.4263846153846155,0.4548108108108108,0.4029,0.429595238095238,0.46844444444444444,0.3400652173913044,0.42606818181818173,0.469860465116279,0.38592307692307687,0.3804090909090909,0.4191463414634145,0.4062727272727273,0.45799999999999996,0.37465454545454535,0.386530612244898,0.3487272727272728,0.49500000000000005,0.0
bWAR,0.877777777777778,0.1476190476190476,0.5146341463414632,0.16222222222222227,0.4690476190476192,0.37499999999999994,0.06938775510204076,0.3266666666666669,0.64390243902439,0.5957446808510639,0.2217391304347826,0.2479166666666667,0.5441860465116278,-0.06153846153846154,0.5702702702702701,0.1350000000000001,0.3500000000000001,0.6916666666666668,0.42608695652173895,0.534090909090909,0.6953488372093022,0.5999999999999996,0.39318181818181797,0.3878048780487805,0.6181818181818183,0.32325581395348835,0.16727272727272732,0.5816326530612245,0.3022727272727273,0.5837837837837835,-0.1
