,MIL,CIN,BAL,CHC,TOR,TEX,OAK,STL,ATL,CHW,BOS,LAA,SF,SEA,KC,PHI,DET,SD,HOU,WSH,NYM,MIA,NYY,PIT,LAD,CLE,TB,MIN,ARI,COL
WHIP,1.2542857142857144,1.7320000000000002,1.2740000000000002,1.3659259259259262,1.3474074074074072,1.508048780487805,1.2486956521739132,1.5412499999999998,1.2934999999999999,1.8826923076923074,1.4143999999999999,1.6303225806451613,1.3280952380952382,1.2354999999999998,1.9243478260869564,1.5,1.686666666666667,1.28875,1.500714285714286,1.2699999999999998,1.512272727272727,1.5544,1.7351515151515153,1.3413043478260869,1.2379166666666663,1.3747826086956518,1.28,1.4547826086956521,1.5392000000000001,1.566153846153846
ERA,3.73,6.739999999999998,3.6409999999999996,4.105925925925926,4.444444444444445,4.478536585365854,3.79304347826087,5.903333333333332,3.1725000000000003,6.833846153846153,3.8344000000000005,6.333548387096775,4.04,3.0705,9.13304347826087,5.106153846153846,6.984333333333335,3.4095833333333334,5.195357142857143,3.3466666666666667,4.74,5.060399999999999,6.5227272727272725,4.3991304347826095,4.153333333333334,4.422173913043478,3.983478260869565,4.689565217391304,5.9276,5.551923076923078
pWAR,0.7857142857142857,0.42800000000000005,0.73,0.6074074074074072,0.5407407407407405,0.17804878048780495,1.017391304347826,0.6083333333333333,0.8750000000000002,0.4153846153846154,0.4239999999999998,0.5548387096774193,0.7714285714285716,1.1099999999999999,0.8478260869565218,0.5538461538461538,0.7666666666666662,0.5416666666666669,0.44999999999999984,1.4888888888888892,0.44090909090909086,0.5400000000000003,0.45151515151515165,0.4956521739130434,0.6499999999999995,0.9,0.9217391304347824,0.3217391304347825,0.13999999999999996,0.08461538461538459
