,STL,COL,DET,TEX,CWS,OAK,NYM,SF,SD,MIL,BOS,ATL,CIN,ANA,BAL,NYY,LA,TOR,ARI,CLE,PIT,MON,SEA,TB,FLA,MIN,PHI,CHC,HOU,KC
WHIP,1.6860869565217391,2.008,1.5060869565217394,2.176842105263158,1.5490909090909093,1.8157142857142858,1.8726315789473684,1.413125,1.6826666666666665,1.7620833333333337,1.4969565217391305,1.5654545454545457,1.5490476190476188,1.6059999999999999,1.7127272727272727,1.665,1.6204761904761902,1.7786363636363638,1.4911764705882353,1.8115625,1.8899999999999997,1.753333333333333,1.76875,1.7391304347826086,1.571111111111111,1.6552941176470588,1.5903703703703707,1.8483333333333336,1.6495652173913045,1.7525000000000002
ERA,5.392173913043479,8.8036,6.14695652173913,9.133684210526317,4.994090909090908,6.473809523809523,7.203157894736843,4.18375,6.151666666666667,6.604583333333334,5.13391304347826,5.551818181818181,5.370952380952382,5.5152,5.886818181818182,6.368181818181819,6.078571428571428,6.451363636363637,5.337647058823529,6.3803125,7.507083333333333,7.6825925925925915,5.961874999999999,7.04695652173913,4.95888888888889,5.8641176470588245,5.930740740740741,6.888749999999999,5.81304347826087,6.545833333333333
pWAR,0.32608695652173925,0.684,0.48695652173913045,0.5684210526315789,0.8818181818181817,0.8523809523809521,0.8000000000000003,0.68125,0.24666666666666656,0.35416666666666674,1.0173913043478264,0.6863636363636364,0.7619047619047619,0.23199999999999993,0.4454545454545453,0.6454545454545455,0.6571428571428571,0.4772727272727271,1.1058823529411763,0.5312500000000001,0.35833333333333345,0.27407407407407414,0.6499999999999999,0.4695652173913043,0.4222222222222221,1.241176470588235,0.2740740740740741,0.17500000000000004,0.291304347826087,0.16666666666666663
