,CWS,CHC,BAL,SD,WAS,SF,LA,SEA,TEX,BOS,STL,CLE,ARI,COL,FLA,PIT,NYY,TB,TOR,CIN,MIN,HOU,KC,NYM,ATL,LAA,PHI,DET,MIL,OAK,nan
AVG,0.17537142857142857,0.21855555555555545,0.15586363636363637,0.19604347826086957,0.18176363636363635,0.2079285714285715,0.18818367346938772,0.1403409090909091,0.1295294117647059,0.14135294117647057,0.21397435897435896,0.15902272727272734,0.16358139534883726,0.17687499999999998,0.17275000000000001,0.16217948717948724,0.14119148936170214,0.12876595744680852,0.1440731707317073,0.14955555555555555,0.16438461538461538,0.14202777777777775,0.1340377358490566,0.14304255319148937,0.1336,0.146575,0.14956818181818185,0.1404736842105263,0.1265625,0.12234210526315789,0.15
OBP,0.2086571428571429,0.2468888888888888,0.19202272727272726,0.24315217391304345,0.2360545454545455,0.2663095238095237,0.2420204081632653,0.17774999999999996,0.17935294117647063,0.17633333333333337,0.26082051282051283,0.18899999999999997,0.22483720930232562,0.2176041666666666,0.20717499999999997,0.21515384615384625,0.1874255319148936,0.18329787234042555,0.17321951219512194,0.1930185185185186,0.20341025641025642,0.1836666666666667,0.17132075471698116,0.20080851063829788,0.1687777777777778,0.184525,0.19836363636363635,0.1732894736842105,0.16277083333333336,0.16210526315789475,0.32
SLG,0.2651428571428571,0.31326666666666664,0.2200454545454546,0.28286956521739126,0.25659999999999994,0.32516666666666677,0.2739591836734694,0.21261363636363637,0.19213725490196076,0.21452941176470586,0.33292307692307693,0.24224999999999997,0.24983720930232564,0.26991666666666664,0.24787500000000007,0.22415384615384612,0.22095744680851068,0.19757446808510642,0.2264634146341463,0.23409259259259255,0.2306666666666667,0.22583333333333336,0.2029622641509434,0.22561702127659577,0.2209111111111111,0.2223,0.22388636363636366,0.22789473684210526,0.1909166666666667,0.18868421052631576,0.4
OPS,0.47374285714285713,0.5600888888888889,0.41206818181818183,0.5260434782608696,0.4925454545454546,0.5914761904761906,0.5158979591836733,0.390340909090909,0.3715098039215685,0.39084313725490183,0.5937435897435899,0.4310227272727273,0.4746511627906976,0.48745833333333327,0.45504999999999984,0.43928205128205133,0.40840425531914887,0.38097872340425515,0.3996585365853658,0.4270925925925926,0.4341025641025639,0.40947222222222224,0.37433962264150944,0.42642553191489363,0.38971111111111106,0.406825,0.4222045454545454,0.40115789473684205,0.35360416666666666,0.35078947368421043,0.72
bWAR,0.4742857142857142,0.21777777777777782,0.36590909090909085,0.5652173913043479,0.29090909090909073,0.35476190476190483,0.3653061224489794,0.4727272727272726,0.38235294117647045,0.36274509803921556,0.5435897435897437,0.5022727272727274,0.28837209302325584,0.27291666666666675,0.4000000000000001,0.09487179487179478,0.5638297872340424,0.14042553191489363,0.6902439024390243,0.1685185185185185,0.5589743589743591,0.43888888888888883,0.31132075471698106,0.49999999999999994,0.46444444444444416,0.38,0.5022727272727272,0.613157894736842,0.30416666666666664,0.4342105263157892,0.0
