,DET,KC,MIN,SD,OAK,TOR,SEA,BOS,CHW,CIN,MIA,TB,BAL,LAD,ATL,WSH,PIT,SF,LAA,CHC,CLE,STL,ARI,TEX,NYY,NYM,MIL,HOU,PHI,COL
WHIP,1.6408695652173917,1.4023809523809525,1.5975862068965516,1.4757575757575763,1.4237037037037037,1.51,1.39125,1.4330769230769234,1.6775,1.7190625,1.4532258064516128,1.5064,1.446296296296296,1.3380645161290323,1.526,1.2000000000000002,1.6812500000000001,1.6612,1.5366666666666666,1.305,1.4914814814814816,1.462857142857143,1.5313793103448274,1.5341935483870965,1.4651724137931035,1.360909090909091,1.722962962962963,1.4030434782608694,1.5518518518518518,1.6484
ERA,4.855652173913043,4.497619047619047,5.50344827586207,4.7354545454545445,5.068148148148148,5.808275862068966,4.25,4.105769230769231,5.283928571428571,6.493125,4.572258064516129,4.1104,5.372222222222223,4.551290322580646,5.416571428571429,3.439583333333333,5.7871875,6.7692000000000005,4.864000000000001,3.8061538461538467,5.3381481481481465,5.689047619047619,5.193793103448276,5.960645161290323,5.115862068965518,4.215454545454545,6.463333333333333,4.895652173913043,6.1359259259259264,6.026800000000001
pWAR,0.717391304347826,0.7380952380952381,0.1068965517241379,0.10000000000000006,0.5407407407407407,0.6172413793103447,0.4375000000000001,0.7923076923076924,0.5285714285714287,0.19062499999999996,0.3580645161290322,0.444,0.807407407407407,0.5451612903225808,0.24285714285714285,1.1416666666666668,0.4687500000000001,0.7880000000000001,0.1466666666666666,0.9346153846153844,1.077777777777778,0.7809523809523812,0.17931034482758615,0.5967741935483872,0.7793103448275861,1.1227272727272726,0.5407407407407407,0.35652173913043483,0.21481481481481488,0.41999999999999993
