,LA,STL,WAS,KC,TB,ATL,TEX,COL,CLE,LAA,PHI,OAK,NYY,MIN,BAL,SF,TOR,MIL,FLA,CWS,CHC,NYM,BOS,CIN,SD,HOU,ARI,PIT,SEA,DET
WHIP,1.3736363636363635,1.4795833333333335,1.628,1.4651999999999996,1.332857142857143,1.690357142857143,1.8346666666666662,1.6138461538461537,1.5253571428571429,1.4738888888888888,1.5072222222222222,1.4725000000000001,1.4662962962962962,1.293157894736842,1.7350000000000005,1.5105,1.2263157894736842,1.5135,1.6228571428571428,1.3963157894736842,1.5626086956521739,1.4662500000000003,1.5260869565217392,1.6730434782608696,1.6196875,1.4435000000000002,1.3510000000000002,1.7153846153846155,1.635,1.6772
ERA,3.995454545454545,4.380416666666666,5.2784,5.2860000000000005,3.9909523809523813,6.100714285714287,7.069666666666666,5.648846153846154,5.607857142857143,5.154444444444445,3.9783333333333326,4.925416666666666,4.557407407407407,3.9894736842105263,5.8234615384615385,4.589499999999999,3.5163157894736843,4.577999999999999,5.598571428571428,4.453157894736841,4.512173913043478,5.150416666666666,6.0034782608695645,5.548260869565217,5.6825,4.869999999999999,4.1795,5.848846153846153,5.724545454545454,5.651599999999999
pWAR,0.9272727272727272,0.2708333333333334,0.16400000000000003,0.768,0.9761904761904764,0.0678571428571429,-0.17333333333333337,0.41923076923076924,0.3642857142857144,1.1222222222222225,0.6166666666666669,0.48333333333333345,0.8037037037037037,0.7894736842105268,0.03846153846153856,0.6549999999999998,1.1263157894736844,0.6799999999999999,0.3857142857142856,1.3105263157894735,1.1217391304347826,0.49166666666666686,0.9347826086956522,0.517391304347826,0.02812500000000002,0.32999999999999985,1.145,-0.01923076923076924,0.0727272727272727,0.3120000000000001
