,MIN,PHI,BOS,KC,DET,NYY,TOR,TB,ARI,FLA,SEA,ATL,CHC,CHW,MIL,WSH,LAA,OAK,BAL,HOU,SF,SD,COL,STL,PIT,NYM,CLE,LAD,TEX,CIN
WHIP,1.5870833333333332,1.2852173913043476,1.5074074074074073,1.4882608695652175,1.4726923076923077,1.4617857142857142,1.4483333333333333,1.4233333333333331,1.4707999999999999,1.4649999999999996,1.336666666666667,1.3190476190476192,1.4295454545454547,1.4268181818181818,1.3586363636363636,1.3324999999999998,1.5852380952380951,1.4403846153846156,1.6029629629629627,1.6443478260869568,1.3552941176470588,1.4536363636363634,1.4827586206896552,1.4733333333333334,1.5411999999999995,1.443478260869565,1.4200000000000002,1.3738095238095238,1.3179999999999998,1.5533333333333332
ERA,4.586250000000001,3.226086956521739,5.424074074074074,4.840869565217392,4.878461538461538,4.024285714285715,5.109333333333333,4.388095238095239,4.3636,4.736818181818182,4.0876190476190475,3.7109523809523806,4.376818181818181,4.443636363636364,3.988181818181818,3.549166666666667,5.187142857142857,4.305000000000001,6.3318518518518525,5.980434782608696,3.8582352941176463,3.8645454545454543,5.008620689655173,5.26125,4.525200000000001,4.614782608695651,4.815454545454545,4.212857142857143,4.403200000000001,4.93
pWAR,0.3916666666666668,1.5304347826086957,0.4629629629629629,0.3391304347826088,0.5192307692307693,0.9571428571428572,0.5066666666666668,0.5190476190476192,0.36000000000000015,0.7318181818181819,0.5666666666666667,0.7952380952380952,0.25,0.8636363636363634,0.6727272727272728,0.5291666666666669,0.6666666666666667,0.6307692307692307,8.22387425648264e-18,-0.1521739130434783,0.9235294117647059,0.2909090909090909,0.3448275862068966,0.4375,0.3320000000000001,0.11739130434782621,0.35909090909090935,0.6047619047619047,0.7000000000000002,0.19999999999999993
