,STL,FLA,ARI,CLE,NYM,SD,TOR,PHI,COL,WAS,NYY,CHC,CWS,HOU,ATL,SF,SEA,LA,BOS,MIN,KC,TEX,PIT,DET,OAK,CIN,LAA,MIL,BAL,TB
WHIP,1.5066666666666666,1.7268965517241381,1.4524000000000004,1.4776190476190476,1.5466666666666669,1.4052380952380952,1.4423809523809525,1.7367857142857144,1.7060000000000002,1.4874074074074073,1.5850000000000002,1.4659090909090908,1.602857142857143,1.4847619047619052,1.6489285714285715,1.5086363636363638,1.557391304347826,1.5145454545454546,1.2605,1.5375,1.5573913043478258,1.5220000000000002,1.7224000000000002,1.5048000000000004,1.5886956521739133,1.5752000000000002,1.4688888888888887,1.3909523809523807,1.7462962962962962,2.6587500000000004
ERA,5.569166666666665,6.161379310344826,4.508,4.884285714285714,6.184166666666666,4.496190476190476,4.9314285714285715,5.816428571428572,6.969333333333334,4.978888888888889,5.434285714285714,4.836363636363637,5.369523809523809,5.020952380952382,4.863571428571428,4.998636363636364,5.203043478260869,5.378181818181819,3.4224999999999994,5.0795,5.226521739130435,4.744,6.9072000000000005,5.1924,5.568260869565217,6.114799999999999,5.097777777777778,4.537619047619048,6.472962962962963,13.703333333333333
pWAR,0.045833333333333386,0.08965517241379312,0.7200000000000002,1.0095238095238095,0.39166666666666666,0.7857142857142859,0.6904761904761905,0.11785714285714285,0.49666666666666665,0.3111111111111111,0.507142857142857,0.8090909090909093,0.9523809523809526,0.6333333333333333,0.3928571428571429,0.759090909090909,0.5478260869565217,0.804545454545455,1.5799999999999998,0.6700000000000002,0.5217391304347825,0.252,0.22399999999999995,0.17600000000000013,0.30434782608695643,0.384,1.0000000000000002,0.5238095238095238,0.24074074074074078,0.17916666666666656
